,raw text,category
354, Dunia aku jadi gelap,symptom
355,Dan parents aku tengok keadaan aku makin teruk parents bawa pi rawatan islam,statement
356, (Time ni aku dengan parents tak tahu lagi yang aku kena penyakit depression),statement
357, Merata pi berubat sampai ada ustaz seorang ni kata aku ada saka,statement
358, Tapi aku rasa aku tak ada gangguan makhluk halus pon sebenarnya,statement
359, Sampai la satu hari ada orang suggest dekat parents aku suruh bawa pergi hospital pakar psikatrik,statement
360,First time jumpa doktor aku rasa takut sangat,symptom
361, Aku tak boleh nak pandang dan bercakap dengan doktor sebab otak aku 24 jam overthinking,symptom
362, Aku just tunduk ketakutan dan aku menangis non stop,symptom
363, Keadaan aku time tu sangat la lemah dan penat sebab otak non stop berfikir je,symptom
364, Dan aku juga susah nak fokus dan mudah lupa,symptom
365, Aku juga mengalami lupa ingatan sementara,symptom
366,Doktor tu kata kat parents aku bawa balik dulu nanti jumpa lagi,statement
367, And doktor tu bagi aku ubat banyak gila nak kena makan,medical history
368, Aku balik dan hari2 aku makan ubat,statement
369, Alhamdulilah aku dah boleh tidur malam dan aku boleh kawal emosi aku,statement
370,2 bulan selepas tu aku semakin baik dan sembuh,statement
371, Aku jumpa doktor tu lagi dan time tu baru ada keyakinan nak bercakap dengan doktor,statement
372, Dan doktor sahkan aku menghidap depresi dan kemurungan,medical history
373, Doktor kata antara salah satu punca dia adalah kurang tidur,medical history
374, Doktor selalu ingatkan aku supaya tidur kena cukup,medical history
375,Dan sekarang aku masih lagi menerima rawatan 3 bulan sekali,medical history
376, Kadang2 aku rasa sedih hidup tengok kawan2 berjaya dan pergi belajar sedangkan aku sekarang menganggur ja,risk factor
377, Aku sempat kerja sebagai cikgu ganti selama 2 bulan selepas saja aku sembuh dari penyakit ni tapi dah habis tempoh kontrak,statement
378, Parents aku ada juga suruh apply kerja tapi aku tak berminat nak kerja benda yang aku tak suka,statement
379,Buat masa sekarang aku masih lagi menunggu panggilan kerja sebagai guru ganti sebab hati aku ni tak terbuka nak kerja benda lain,statement
380, Aku semakin baik cuma aku kadang2 ada juga la rasa murung tu,symptom
381, Aku dah tak happy macam dulu lagi,symptom
382, Aku tetap bersyukur walaupon aku rasa ujian aku ni berat sangat tapi aku masih bernyawa lagi,statement
383, Allah tetap bagi aku hidup lagi,statement
384,Semua yang berlaku pasti ada hikmahnya,statement
385, Tapi kadang2 aku fikir juga kenapa Allah bagi aku ujian macam ni penyakit yang luar nampak normal tapi dalam tu merana sangat,statement
386,Aku tak tahu nak cerita penyakit aku dekat orang sebab kalau aku cerita pon mereka tak akan faham,risk factor
387, Mesti mereka akan judge aku yang aku ni lemah iman sedangkan aku dulu dekat universiti subuh dekat surau,risk factor
388, Solat lima waktu,statement
389,Apa pon doakan aku dipermudahkan urusan nak sambung belajar balik dalam bulan 9 tahun ni,statement
390, Cuma sekarang aku buntu nak buat apa kat rumah lama²,statement
391, Bosan teruk dengan takda kawan,statement
392, Itu saja cerita aku,statement
393, Terima kasih,statement
394,– Fezzul  (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc,statement
395, com/submit,statement
396,"Hari ini, aku dapat tahu sendiri kenapa orang murung tak dapatkan pertolongan",statement
397,Aku pergi klinik kesihatan hari ni,statement
398," Dalam dua minggu lepas, perasaan yang dah lama aku tak rasa datang balik",medical history
399, Dulu masa aku belajar dan masa aku bujang selalu la perasaan tu datang,medical history
400,Seingat aku ini kali pertama datang perasaan yang sama macam dulu sejak aku kahwin,medical history
401, Pencetusnya? Aku pun tak tahu,statement
402,"Dalam dua minggu lepas, aku memang rasa down sangat",symptom
403, Tanpa sebab,statement
404, Rasa sedih,symptom
405, Rasa malas bangun tidur,symptom
406, Aku bangun untuk solat subuh je,symptom
407, Itu pun kadang2 aku burn subuh,symptom
408," Lepas subuh, aku tidur balik",symptom
409, Takde semangat langsung nak bangun,symptom
410," Oh, aku kerja ikut suka aku",symptom
411, Kerja bebas,symptom
412,Aku rasa sedih tak tentu pasal,symptom
413, Takde sebab,symptom
414, Rasa useless,symptom
415, Rasa macam dulu la masa belajar,statement
416, Masa bujang,statement
417, Masa aku duduk sorang2,statement
418, Tapi ini kali pertama jadi lepas kahwin,statement
419, Otak aku asyik fikir kalau mati lagi best,symptom
420, Aku dah prepare dah untuk isteri dan anak aku duit,statement
421," Tak banyak, tapi ada la",statement
422," Tapi fikir je, takde la sampai aku nak campak nyawa aku sendiri",statement
423," Cuma macam bayangkan, death by proxy",symptom
424, Mati sebab accident ke,symptom
425, Aku ada la iman lagi,statement
426, Aku tahu la dosa pahala,statement
427,"Satu malam dalam dua minggu lepas tu, aku scroll FB, search tentang depression",statement
428," Jumpa la satu page ni, Malaysia Suicide Alert (MESRA)",statement
429, Aku try la pm,statement
430, tak berbalas sampai sekarang,statement
431, Aku cuba la call Befrienders,statement
432, Tak dapat,statement
433, Tapi aku faham la sebab dah tengah malam,statement
434," Serius aku cakap, memang waktu tu aku serabut",statement
435, Aku rasa berat sangat nak buat benda yang aku selalu buat,symptom
436, Aku rasa nak tidur je,symptom
437, Aku monyok je,symptom
438, Keluar dengan family pun rasa tak happy,symptom
439, Aku sedih je,symptom
440,Aku jumpa satu link,statement
441, Questionnaire,statement
442, Saringan Kesihatan Mental,statement
443, Aku cuba la jawab,statement
444," Dapat keputusan dalam email, dia suruh aku pergi ke Klinik Kesihatan",statement
445," Esoknya aku pergi, aku tunjuk kat kaunter klinik kesihatan, diorang pun blur",statement
446, Tapi diorang suruh aku daftar dulu,statement
447," Aku daftar, Aku tunggu lama",statement
448, Pastu aku balik sebelum sempat diorang panggil aku,statement
449," Aku fikir, takpe la, aku setel sendiri……I got better a few days later",statement
450, Ada beberapa benda yang aku buat menjadi,statement
451, Aku semangat balik,statement
452, Aku ok balik,statement
453, Tapi perasaan tu masih ada la,statement
454," Aku start balik bangun awal pagi, ulang balik rutin dulu",statement
455," Pastu hari ini, aku buat keputusan untuk pergi klinik kesihatan lagi sebab aku ada gatal-gatal tanpa ruam yang miang sesangat",statement
456," Pergi klinik kali ni, aku tunggu",statement
457, Tunggu sampai dipanggil masuk bilik doktor,statement
458,"Jumpa doktor, aku cerita pasal gatal-gatal",statement
459, Dan biasalah doktor klinik kerajaan,statement
460, Beban kerja terlalu banyak,statement
461, Memang cuba secepat mungkin untuk selesaikan patient,statement
462, Aku cuba cakap tentang ujian saringan depression yang aku ada ambil,statement
463,"Waktu ini, nampak gaya macam ada sinis sikit",statement
464, Macam mana nak cakap ye? Macam gaya nak kata kita ni mengada-ada,statement
465," Mungkin aku sangka buruk, tapi aku orang sales, aku boleh baca sikit2 gaya orang ni",statement
466," But don’t get me wrong, the doctor was still professional",statement
467," Dia suruh aku ambil satu borang kat luar, suruh aku isi borang tu",statement
468, Borang DASS namanya,statement
469,Borang mengandungi soalan2 yang lebih kurang sama macam soalan saringan depression hari tu,statement
470, Aku jawab la ikut arahan,statement
471," Arahannya, berdasarkan apa yang kita rasa dalam seminggu yang lepas",statement
472, Aku masih rasa,statement
473, Cuma dah kurang,statement
474,"Aku bawa balik masuk borang tu, Keputusan memang lebih kurang dengan saringan",statement
475,"  Kemurungan – Sangat TerukAnzieti – SederhanaStres – Sangat TerukOk, jumpa doktor balik",statement
476, Kesinisan bermula sekali lagi,statement
477, Doktor tanya soalan untuk pastikan sama ada aku faham soalan yang ditanya dalam borang,statement
478, Aku jawab,statement
479," Ada cara doktor tu balas, itu biasa la",statement
480, Saya pun rasa macam tu,statement
481,Cara doktor tanya macam menekan,risk factor
482, Macam aku ni sungguh mengada-ada,risk factor
483," Ada satu part, aku beritahu tentang suicidal thoughts aku",symptom
484," Dia kata, “Tapi takde la nak buat apa-apa kan?” Dan dia juga ada cakap, “Tak bolehlah macam tu, bila terlintas, fikir anak isteri”",statement
485, Aku pergi jumpa doktor sebab aku fikir anak isteri la,statement
486, Aku nak baik,statement
487,"Sampailah satu soalan, dia tanya tentang family, dia tanya aku tak boleh kongsi dengan isteri aku ke? Dengan parents macam mana",statement
488, SH*t,statement
489, Masa ni aku nangis,symptom
490, Sebak,symptom
491, Tetiba,statement
492, Aku tak tahu kenapa,symptom
493, Depan doktor tu,statement
494, Aku dah bertahun-tahun kot tak menangis macam tu,symptom
495, Anak aku sakit dulu pun aku tak nangis macam tu,symptom
496,Last2 doktor set aku untuk terapi pemulihan carakerja,medical history
497, Memang terapi yang aku nak,medical history
498, Bukan nak bantai ubat terus,medical history
499,"Aku yang sepatutnya dah ok sikit, pasal insiden hari ini, dengan doktor tu, aku dah rasa macam haritu balik",symptom
500,Rasa nak mati je…,symptom
501,– AkuHantar confession anda di sini -> www,statement
502,iiumc,statement
503,com/submit,statement
504,Aku terpanggil untuk tulis pengalaman aku lepas baca confession bertarikh 28/9/2018 bertajuk “doktor dan kemurungan” (https://iiumc,statement
505,com/doktor-dan-kemurungan/),statement
506, Moga kisah aku sedikit sebanyak dapat membantu insan-insan yang sedang cuba menyelesaikan isu kesihatan mental mereka,statement
507,"Aku rasa aku melalui fasa depression yang teruk sebanyak tiga kali, cuma kali ketiga baru dapat diagnosis rasmi dan rawatan yang betul",medical history
508,Kali pertama adalah 5 tahun lepas,medical history
509, Masa ni aka sangat tak boleh function,symptom
510, Bilik aku sentiasa bersepah macam kena ribut taufan,symptom
511, Bahagian rumah lain aku kemas je sebab mak aku suruh,statement
512, Tapi bilik aku macam tongkang pecah,symptom
513, Tidur aku haru biru,symptom
514, Hidup aku tak ada arah tuju dan banyak jugaklah benda merepek aku buat masa ni antaranya lari daripada rumah,symptom
515, Ade lagi yang lagi merepek tapu tak perlu pun confess,statement
516," Senang cerita, aku memang tak ok",symptom
517,"Time nilah aku mula hafal al-Quran, seperti kebanyakan netizen muslim aku pun ingat aku ni lemah iman je kot",statement
518, So aku fikir cara terbaik untuk aku mantapkan iman aku adalah dengan hafaz al-Quran serta jaga tahajjud,statement
519,"Aku mula rasa hafaz al-Quran tu sangat menenangkan dan best, semakin dekat aku dengan al-Quran semakin aku jauh daripada derita aku",statement
520," Dan bila kau menghafaz Kalamullah ni, kau kena tumpu 100% fikiran kau pada ayat al-Quran, well at least bagi aku lah cara aku menghafal macam tu",statement
521,Tapi aku jadi macam robot,statement
522, 24 jam aku dengan al-Quran,statement
523, Aku sentiasa menyendiri dengan al-Quran,statement
524, Dengan family aku makin jauh,symptom
525, Diorg borak aku sumbat telinga dengan earphone dengar al-Quran,symptom
526, End up aku hafal 6 juzu dalam masa 4 bulan (aku duk rumah time ni),statement
527, Dan hafazan ni adalah hafazan aku yang paling kuat sampai sekarang,statement
528," Time ni juga setiap hari aku menangis, tapi aku happy sebab aku dah boleh function balik lepas mula menghafaz",symptom
529, Tahun seterusnya aku ambil keputusan untuk hafaz al-Quran 30 juzu sebab bagi aku al-Quran penawar aku,statement
530," Aku fikir, mesti aku takkan lagi lalui fasa yang menyakitkan tu kalau aku jadi hafizah",statement
531, Ternyata aku salah,statement
532,Alhamdulillah aku diterima masuk sebuah institusi yang membolehkan aku hafaz 30 Juzu al-Quran,statement
533, Tahun pertama ok je,statement
534, Masuk tahun 2 aku mula rasa balik macam aku rasa dulu,medical history
535, Di mana waktu tu aku pun tak tahu tu kemurungan ke apekebenda,statement
536, Malam aku xleh tidur,symptom
537, Aku termenung je tengok silinh,symptom
538," Dok fikir macam-macam, antaranya cara nak bunuh diri",symptom
539, Aku dah tak rasa nak hidup,symptom
540, Kelas jangan cakap lah,symptom
541, Aku rasa 40% kelas aku tak masuk,symptom
542, Aku buat apa? Aku termenung je time aku tak masuk kelas,symptom
543, Tak termenung aku tertidur,symptom
544, Terbangun daripada tidur aku termenung,symptom
545, Ingat best? Tak best langung,statement
546, Orang yang lalui je faham peritnya,statement
547, Aku pemalas? Sila cuba dan fahami tentang depresi,statement
548,Aku dah tak ada perasaan langsung,symptom
549, Masa tu aku masih dok hafaz al-Quran,statement
550, Tapi aku menghafaz ikut sukatan je lah,statement
551, Aku dah tak semangat macam mula-mula,symptom
552," Bila kau dah biasa menghafal pulak, memang kejap je nak hafal satu mukasurat tu",statement
553, 15-20 minit dah boleh ingat satu mukasurat,statement
554, So biasanya aku sebelum nak tasmik baru aku tengok dan hafal,statement
555,Last-last aku dah rasa penat sangat dengan diri sendiri aku nekad pergi klinik psikiatri,statement
556, Masa tu aju dah nak habis belajar dah,statement
557, Lagi dua tiga bulan macam tu,statement
558, Lebih kurang setahun lebih jugak lah aku menderita,medical history
559,Ni lah first time aku jumpa dokto untuk isu kesihatan mental aku,medical history
560, Dan pengalaman pertama aku tak best,statement
561," Sebelum aku pergi klinik ni, aku dah cerita masalah aku dengan kawan, dengan ustaz, dengan ustazah, dengan kaunselor tapi mereka hanya mampu terkedu dan suruh aku bertabah",statement
562, So aku pergi jelah klinik psikiatri sebab aku tahu aku perlukan bantuan,statement
563, Malangnya pengalaman kali pertama ni x berapa best,statement
564,Doktor ni perlekehkan aku masa aku nak explain apa yang aku fikirkan,risk factor
565, Aku cakap “I think of patterns…” belum sempat aku habiskan ayat ni doktor ni potong cakap aku dan dengan penuh kekerekkan beliau berkata “are you trying to diagnose yourself? I do the diagnosis here ok” dan dia pun diagnose aku dengan poor sleep hygiene dan aku hanya stress dan bukan depressed,risk factor
566, Aku ikut segala nasihat dan saranan doktor ni tapi aku jadi lagi teruk,risk factor
567,"Alhamdulillah Allah bagi aku otak yang agak cepat pickup jadi walaupun aku miss2 kelas dan x baca buku langsung, Allah rezekikan aku untuk berjaya habiskan belajar dan tamatkan hafazan 30 juzu",statement
568, Walaupun aku sampai sekarang rasa bersalah dengan pengajar2 aku sebab seolah aku tak hormat diorang,symptom
569, Dan aku juga rasa aku belum betul-betul hafaz al-Quran walaupun secara rasminya aku diiktiraf sebagai penghafaz al-Quran,symptom
570,"Fast forward kepada tahun ni, aku lalui episod ketiga",statement
571, Dan kalau ikutkan aku dah malas nak jumpa doktor,statement
572," Kalau kau ikut kata orang sebab iman lemah, aku dah siap hafal satu Quran lagi sebab nak pulihkan diri aku",statement
573, Kau rasa? Aku rasa aku dah cuba segala-galanya tapi aku tetap miserable dan rasa tak nak hidup,symptom
574,Last2 aku pergi juga ke klinik psikiatri,statement
575, Sekarang aku dah masuk 5 bulan makan antidepressant pagi dan malam,medical history
576, 6 atau 7 kali sesi psikoterapi dengan doktor aku yang sangat2 baik,medical history
577, Aku di diagnose dengan OCD dan depression,medical history
578, Sebab apa? Tu tak perlu tahu kot,statement
579, Panjang sangat ceritanya,statement
580,  Point aku kat sini ada dua,statement
581,1,statement
582," Bagi yang sedang mengalami masalah yang kau rasa ada kaitan dengan kesihatan mental kau aku doakan kau tabah dan tetap teruskan untuk dapatkan rawatan, stick dengan rawatan, kalau dapat ubat kau makan, doktor suruh buat apa kau buat, doktor suruh tinggal apa kau tinggal",statement
583," Doktor kau kerek, kaunselor kau tak dengar, kau cari lagi dan lagi dan lagi sampailah kau jumpa orang yang boleh bantu kau atasi masalah kau",statement
584, Doktor pun manusia jugak,statement
585, Mungkin nasib kau kurang baik dia bad mood masa hari kau jumpa dia,statement
586, Yang penting kau terus dan terus dan terus doa dan ikhtiar supaya kau ok dan boleh function balik,statement
587, Kesihatan mental SANGAT penting ok,statement
588,2,statement
589, Kau sakit tak semestinya Iman kau lemah tapi tak semestinya juga Iman kau ok,statement
590, Hakikat Iman tu memang naik dan turun ini memang ulama bersepakat tentang hakikat ini,statement
591, Kau sakit ke sihat ke iman kau memang turun naik,statement
592," Dan kau sakit ke sihat ke kau sentiasa kena usaha perbaiki iman kau, perbaiki ibadah kau",statement
593," Ada kaitan tak dengan kesihatan mental? Bagi aku secara generalnya tidak, tapi dari segenap sudut ada kena mengena juga",statement
594,"Maksud aku, stigma yang depression yang PUNCA UTAMA adalah kelemahan iman tu bagi aku salah",statement
595, Iman ni Allah je yang tahu kat mana levelnya,statement
596," Aku tak nafi, boleh jadi lemahnya iman tu ANTARA PUNCA kau kemurungan",statement
597," So disebabkan mustahil untuk buktikan kelemahan iman ni punca kemurungan, sebab tu kalau kau cuba ambil langkah-langkah untuk kuatkan iman pun kau still murung",medical history
598," Macam aku dulu la, hari-hari baca al-Quran, solat cukup, orang sekeliling pun semua dok mengaji je tapi last2 kemurungan datang balik jugak",medical history
599," Tapi aku tak nafikan, yang aku hafaz al-Quran ni sangat membantu aku",statement
600, Ayat-ayat Allah ni macam pelampung yang aku berpaut dalam ombak dan badai kemurungan yang hampir menenggelamkan aku,medical history
601,"Kesimpulannya, bila kemurungan tu lau ikhtiar dapatkan rawatan perubatan dalam masa yang sama hubungan dengan Allah pun kau cuba improve",statement
602, Dan pandangan negatif termasuklah doktor atau kakitangan kesihatan yang tak memahami kau tolak tepi walaupun kau rasa sakit hati dan takde sape paham kau,statement
603, Jangan biarkan pengalaman tak best menghalang kau daripada teruskan rawatan,statement
604,"Dan start je kau dapat diagnosis, time tu akan jadi lagi susah, aku mula aku amek ubat pun ade yg x kena, nak aplikasikan nasihat doktor daripada psikoterapi pun sakit, kau kena lawan diri kau",statement
605, It does not get easier but eventually it will,statement
606,Keep moving,statement
607, Keep trying,statement
608, Teruskan bernafas walau kau rasa tak mau,statement
609, Teruskan bernafas sampai kau betul-betul rasa nak hidup,statement
610,"Alhamdulillah sekarang aku dah sangat banyak improvement, asbab rawatan doktor aku dan sokongan orang-orang terdekat aku",statement
611, Semoga Allah rahmati mereka dan semoga lebih ramai doktor yang baik macam doktor aku,statement
612, Kau takkan tahu betapa nikmatnya perasaan nak hidup bila kau pernah lalui fasa taknak hidup,statement
613,Last aku nak share,statement
614, Sentiasa amalkan doa ni :اللّهم إني أعوذبك من الهَمِّ و الحزنAda sambungan dia lagi korang carik lah sendiri eh,statement
615," Hammi tu maksud die anxiety, hazan to sadness aka depression",statement
616,P/s : aku pergi klinik kerajaan pada kedua-dua fasa yang berbeza tersebut,statement
617,– FibonacciHantar confession anda di sini -> www,statement
618,iiumc,statement
619,com/submit,statement
620,Assalamualaikum dan salam sejahtera kepada pembaca IIUM Confessions dan para admins,statement
621," Terlebih dahulu, saya berterima kasih kepada pihak admins jika coretan ini diterbitkan",statement
622," Walaupun tidak diterbitkan, terima kasih kerana sudi membaca",statement
623,Saya mulakan dengan pengenalan diri saya,statement
624," Nama saya Tia, anak sulung daripada tiga beradik",statement
625," Sebagai anak sulung, saya sedar jika sesuatu berlaku kepada ibu bapa saya, secara automatik tanggungjawab keluarga dipikul oleh saya",risk factor
626," Sebenarnya, saya merasakan bahawa saya mengalami kemurungan",statement
627," Ya, saya pasti ramai pembaca akan menyuruh saya untuk berjumpa dengan doktor untuk kepastian",statement
628, Ada beberapa sebab yang menyebabkan saya untuk tidak pergi berjumpa dengan doktor,statement
629,Kisah saya bermula sewaktu saya sekolah rendah,statement
630," Seorang pelajar yang pintar dan disayangi guru, kehidupan saya dipenuhi dengan momen ceria",statement
631," Namun, semua itu berubah apabila saya mengalami epilepsi atau lebih dikenali sebagai sawan",risk factor
632, Penyakit ini secara tidak langsung telah mengubah kehidupan saya,risk factor
633, Penyakit saya dibicara oleh para guru tanpa segan-silu malah ada pelajar mendengarnya,risk factor
634," Saya diejek dengan perkataan “sawan babi”, “wayar putus” dan beberapa perkataan yang sudah saya lupakan",risk factor
635," Sampai satu ketika, saya pernah menangis kerana diejek sebegitu",risk factor
636, Faktor ejekan tersebut mendorong saya untuk membuat keputusan memasuki sekolah menengah di mana tiada langsung pelajar sekolah rendah yang sama dengan saya,risk factor
637,"Alam sekolah menengah, saya menyembunyikan penyakit saya dan Alhamdulillah, saya tidak diserang sawan sehingga Tingkatan 3",statement
638," Ketika itu, ayah saya bertugas di luar negara",statement
639, Hanya ibu yang mengurus keluarga,statement
640," Sewaktu penyakit ini menyerang, saya melihat betapa lemahnya seorang ibu",risk factor
641," Dia yang tak pernah tunjuk penatnya, menangis melihat saya diserang sawan",risk factor
642, Malah ayah saya turut dihubungi dan diminta pulang dengan kadar segera,risk factor
643," Pada ketika itu, saya tidak merasakan apa-apa",statement
644, Tumpuan saya hanya pada PMR,statement
645, Saya lulus dengan cemerlang and juga bersyukur kerana rakan-rakan serta para guru langsung tidak pernah menyebut soal penyakit saya,statement
646," Namun begitu, kami sekeluarga terpaksa berpindah atas tuntutan kerja ayah",risk factor
647,"Di sini, bermula episod kemurungan saya",risk factor
648, Saya yang berasal daripada sekolah perempuan sahaja memasuki sekolah di mana pelajarnya bercampur lelaki dan perempuan,statement
649, Membawa nama sekolah perempuan saya pada ketika itu telah menyebabkan saya dipulau tanpa ditanya apa-apa,risk factor
650, Saya hanya berkawan dengan rakan-rakan cina,statement
651," Pada ketika ini, saya merasakan kehidupan saya sunyi dan saya memberontak secara diam terhadap ibu bapa saya",symptom
652, Pelajaran saya mulai merosot dan kedatangan saya ke sekolah diselangi dengan ponteng di bawah pengawasan ibu saya,symptom
653, Saya menjadi seorang yang lebih gemar bersendirian dan mula mencipta rakan imaginasi,symptom
654, Sehingga sekarang ibu bapa saya tidak tahu soal rakan imaginasi saya,symptom
655, Kejadian pulau itu tidak berlarutan lama,statement
656," Setelah saya menjelaskan nama sekolah lama dan berbuat baik, ada yang sudi berkawan dengan saya",statement
657," Namun begitu, saya tidak meletakkan sepenuh kepercayaan terhadap mereka",symptom
658," Malah, pada waktu itu saya tidak mempercayai sesiapa kecuali diri saya",symptom
659,"Tamat persekolahan, saya banyak menghabiskan masa di sosial media",symptom
660, Medium ini menjadi tempat saya meluahkan perasaan malah rakan maya saya banyak membantu saya,symptom
661, Saya meneruskan pengajian ke sebuah universiti dan di sana saya mula mempercayai rakan sekelas saya,statement
662," Ibarat kaca yang telah dicantum berderai semula, begitu juga kepercayaan saya",statement
663, Saya ditinggalkan oleh rakan sekelas saya malah dipulau secara tidak langsung oleh mereka,risk factor
664," Bahkan, para pensyarah dapat melihat apa yang dilakukan oleh mereka terhadap saya",statement
665, Saya mula bergerak secara solo dan perangai ini saya bawa ke pengajian ijazah,statement
666," Sewaktu pengajian ijazah, saya bertemu dengan rakan-rakan yang sekarang ini saya anggap keluarga kedua saya",statement
667,"  Soal percaya, ya saya masih tidak mampu mempercayai manusia sepenuhnya",statement
668," Bahkan, diri saya sendiri saya tak mampu untuk percaya",statement
669, Saya mengalami kemurungan kali ketiga sewaktu tahun ketiga pengajian ijazah,statement
670, Saya kehilangan seorang rakan baik dan pada waktu yang sama saya mengetahui bahawa orang yang saya menaruh harapan hanyalah mempermainkan saya,risk factor
671, Kehilangan rakan baik ditambah pula kesibukan membuat tesis telah mejadikan saya terlampau stres,risk factor
672," Apabila stres saya memuncak, saya mula memikirkan tentang kesedihan saya dan tidak melakukan sebarang kerja",symptom
673, Hanya tidur dan menyelubungi diri saya dengan selimut,symptom
674, Air mata gugur berkali-kali,symptom
675, Tiada siapa pun tahu,statement
676," Malah sehingga sekarang, apabila kemurungan melanda, saya hanya mampu menangis dalam senyap tanpa pengetahuan sesiapa",symptom
677,Saya tidak pasti berapa ramai lagi pembaca yang sedang membaca kisah saya,statement
678, Berbalik kepada soalan mengapa saya tidak berjumpa dengan doktor untuk kepastian,statement
679, Saya yang mempunyai tahap keyakinan diri yang lemah,symptom
680, Ibu saya menyedari hal ini dan sering membezakan saya dengan adik saya,risk factor
681, Hal ini telah mengakibatkan diri saya berada dalam keadaan stres,symptom
682," Selain itu, saya merupakan seorang yang pendiam dan hanya berbicara jika perlu",statement
683," Berat mulut, itulah ungkapan ibu saya kepada saya",statement
684," Ya, saya mampu untuk pergi ke hospital sendiri",statement
685," Namun, kehidupan saya sentiasa dibayangi ibu bapa saya",risk factor
686, Tidak kah mereka pelik untuk apa saya pergi ke klinik atau hospital sedangkan saya sihat? Malah setiap pergerakan keluar masuk rumah saya pasti ditemani oleh ibu bapa saya,statement
687, Memberitahu soal kemurungan kepada ibu bapa? Kepercayaan saya terhadap mereka belum pulih sepenuhnya,symptom
688, Saya juga masih ingat sesi di hospital di mana ayah saya berpura-pura menghidap sawan sedangkan saya yang sakit,statement
689," Wajarkah saya untuk membebani hati serta kepala mereka dengan kemurungan saya?Jika dahulu, saya hanya menangis",risk factor
690," Tapi kini, saya membayangkan pisau dan saya pasti anda memahami apa yang saya bayangkan",symptom
691, Saya sedar kemurungan saya semakin teruk dan saya perlu bantuan segera,statement
692, Saya berharap agar saya cepat mendapatkan pekerjaan dan keluar daripada rumah,statement
693," Dengan cara ini, saya dapat pergi mendapatkan bantuan tanpa pengetahuan ibu bapa",statement
694,Saya berharap sangat para pembaca dapat membantu saya secara tidak langsung,statement
695, Berhati-hati dengan komen anda kerana bisa kata-kata boleh menjatuhkan seseorang,statement
696,– TiaHantar confession anda di sini -> www,statement
697,iiumc,statement
698,com/submit,statement
699,Kemurungan dan Rasa Cemas yang tak dapat Di kawal,statement
700, Pengakuan diri sendiri harap dapat membantu sesiapa yg pernah dan tengah alami di luar sana,statement
701, Ini berlaku setelah aku bertukar tempat kerja yg nyata pada awalnya dapat di urus dengan baik tetapi setelah 3 bulan di tukar ke assignment yang lebih susah,risk factor
702, Assignment baru ini telah menyebabkan ramai rakan rakan kerja sejawatan dan rakan rakan lain telah ambil keputusan untuk berhenti dan menukar kerja ke jabatan lain ataupun ke syarikat lain,risk factor
703, benda nie berlaku di syarikat international-kilang electronics,statement
704, Bagi aku ,statement
705,,statement
706, aku suka dengan challenge dan aku sahut cabaran dari boss aku ,statement
707,,statement
708, yg mana boss aku nie aku katergorykan old style dan lembab dalam buat keputusan ,statement
709,,statement
710, bayankan satu isu meeting untuk finalize boleh ambil masa sampai 4 jam ,statement
711,,statement
712, kadang kadang stress bukan sebab kerja tapi sebab terlampau banyak menunggu keputusan dari boss,risk factor
713, diri terkesan apabila kesibukkan melampau sehingga banyak kerja yang tertangguh di sertai dengan di herdik dan di marah oleh orang atasan di sebabkan KPI tidak seperti yang di hendaki,risk factor
714, Badan akan rasa panas sejuk tetapi bukan demam,risk factor
715,,statement
716, banyak masalah yang di fikirkan dan setiap masalah kita nak selesaikan dengan yang terbaik,statement
717, bermula kisah setelah 2 bulan di dalam project/ assigment baru … kesibukkan dia sampai hanya sempat ambil lunch sahaja ,statement
718,,statement
719, dan waktu solat sentiasa delay… kadang kadang siap kena qoda’ sebab berada dalam meeting,risk factor
720, kemuncak Depression and Anxiety Disorders ini apabila perasaan nak bunuh diri datang … di sebabkan give up yang teramat sangat ,symptom
721,,statement
722, aku alami benda nie setelah 5 bulan dalam keadaan Depression and Anxiety Disorders Selain seram sejuk diri rasa macam kecil sekecil nya dan rasa rendah diri yang amat sangat sehingga untuk berjumpa jiran tetangga pun boleh nak pitam … dengan kenalan lain lagi laa,symptom
723,,statement
724, pernah pitam 2 kali semasa solat berjemaah,symptom
725, sebab rasa rendah diri dan tidak cukup tidur,symptom
726, Langkah paling selamat untuk elakkan dari buat benda paling bodoh adalah : 1- banyakkan diri berada di surau dan masjid ,statement
727,,statement
728,mengaji quran dan dengan kuliah …ini aku hanya sedar setelah hampir sembuh di mana setelah 7 bulan menderita,statement
729, 2- jangan bersendirian,statement
730, kalau rasa rendah diri kena berada dalam jemaah yang ramai ,statement
731,,statement
732, seperti di masjid atau pasaraya ,statement
733,,statement
734, (Pernah stay kat surau hotel tingkat 14 sorang diri dan plan nak terjun ikut tingkap – astaghfirullah)sila jauhkan dan jangan buat,symptom
735, 3- pernah berada dalam kereta dan ambil tali pinggan kaledar jerut leher,symptom
736,,statement
737, nasib masih hidup ,statement
738,,statement
739, Alhamdulillah- jangan terpenung walaupun dalam kereta…,statement
740, 4- Aku berhenti kerja dan dapatkan kerja di tempat yang lebih senang/mudah,statement
741, dengan kommitment yang tinggi,statement
742, aku redah dan nekad ,statement
743,,statement
744, Alhamdulillah ,statement
745,,statement
746, Allah penentu segalanya ,statement
747,,statement
748, untuk kurang stress,statement
749, jangan terus kalau diri dah rasa give up,statement
