,raw text,clean text
201, Doktor juga membenarkan saya keluar selepas lengkap rawatan ECT,doktor juga membenar saya keluar selepas lengkap rawat <allcaps> ect </allcaps>
202, Ubat saya ditukar pula kepada Desvenlafaxine (juga anti-depressant) dan Aripiprazole untuk halusinasi,ubat saya ditukar pula kepada desvenlafaxine ( juga anti - depressant ) dan aripiprazole untuk halusinasi
203,"Pada waktu ini, Aripiprazole menyebabkan saya rasa resah","pada waktu ini , aripiprazole menyebab saya rasa resah"
204," Saya tidak boleh duduk diam di rumah dan bila hendak tidur, saya perlu menggunakan Lorazepam untuk tidur","saya tidak boleh duduk diam di rumah dan bila hendak tidur , saya perlu mengguna lorazepam untuk tidur"
205," Selepas berbincang dengan doktor, saya tidak perlu lagi menggunakan Aripiprazole kerana halusinasi juga hilang sehingga hari ini","selepas berbincang deng doktor , saya tidak perlu lagi mengguna aripiprazole kerana halusinasi juga hilang sehingga hari ini"
206, Saya masih dalam rawatan (Desvenlafaxine) dan pemantauan doktor tetapi sekarang saya lebih ceria dan positif,saya masih dalam rawat ( desvenlafaxine ) dan peminta doktor tetapi sekarang saya lebih ceria dan positif
207, Saya kembali menjalani kehidupan normal sebelum saya sakit,saya kembali menjalani kehidup normal sebelum saya sakit
208," Saya sangat bersyukur dengan pertolongan doktor, keluarga dan kawan dalam proses pemulihan ini","saya sangat bersyukur deng pertolong doktor , keluarga dan ka dalam proses pemulih ini"
209,"Sekarang, saya telah meletakkan jawatan dan mencari peluang pekerjaan lain","sekarang , saya te meletak jawat dan mencari peluang pekerja lain"
210, Mungkin rezeki saya di bidang perubatan setakat ini sahaja atau mungkin juga di lain masa,mungkin rezeki saya di bidang perubat setakat ini sahaja atau mungkin juga di lain masa
211," Apa pun, hidup tetap perlu diteruskan","apa pun , hidup tetap perlu diterus"
212, Saya tidak pernah menyesal melalui pengalaman ini kerana ia menjadi satu bahagian dalam hidup saya yang bernilai,saya tidak pernah menyesal melalui pengalam ini kerana ia menjadi satu bahagi dalam hidup saya yang bernilai
213,"Ada masa kita jatuh terduduk, ada masa kita akan kembali bangkit lebih tinggi dari sebelumnya","ada masa k jatuh terduduk , ada masa k akan kembali bangkit lebih tinggi dari sebelum"
214," Saya percaya, satu pintu yang tertutup, ada pintu lain yang terbuka","saya percaya , satu pintu yang tertutup , ada pintu lain yang terbuka"
215," Dan akhirnya kita akan melalui jalan kehidupan yang lebih bahagia, asalkan kita terus berusaha","dan akhir k akan melalui jal kehidup yang lebih bahagia , asal k terus berusaha"
216, Pelbagai pengajaran saya pelajari sewaktu tempoh depression ini antaranya :1,pelbagai pengajar saya pelajari sewaktu tempoh kemurung ini antara : satu
217," Sekiranya emosi kita terganggu atau stress, luahkan pada orang yang kita rapat, kawan – kawan dan keluarga","sekira emosi k terganggu atau stres , luah pada orang yang k rapat , ka – ka dan keluarga"
218," Selalunya, sesi meluahkan perasaan amat membantu menstabilkan emosi","selalu , sesi meluah perasa amat membantu menstabil emosi"
219," Sekiranya anda tidak selesa meluhkan pada kenalan, boleh cuba menghubungi Befrienders","sekira anda tidak selesa mekamu pada kenal , boleh cuba menghubungi befrienders"
220, Mereka terlatih untuk mendengar isu dan masalah pemanggil dan tidak bersifat judgemental dengan isu kita,mereka terlatih untuk mendengar isu dan masa pemanggil dan tidak bersifat judgemental deng isu k
221, 2,dua
222, Dapatkan rawatan di klinik kesihatan / pakar psikiatrik sekiranya masalah tetap berpanjangan,dapat rawat di klinik kesihat / pakar psikiatri sekira masa tetap berpanjang
223," Jangan sekali- kali merawat diri sendiri tanpa pemantauan doktor dan pakar bertauliah, dikhuatiri menyebabkan masalah lain pula","jang sekali - kali merawat diri sendiri tanpa peminta doktor dan pakar bertauliah , dikhuatiri menyebab masa lain pula"
224,3,tiga
225," Sekiranya tidak serasi dengan ubatan atau ubat tidak memberikan kesan, berbincang dengan doktor pakar dan nyatakan dengan jujur","sekira tidak serasi deng ubat atau ubat tidak memberi kes , berbincang deng doktor pakar dan menyata deng jujur"
226, Doktor akan cuba mengoptimumkan rawatan,doktor akan cuba mengoptimum rawat
227, Sesetengah ubat memerlukan tempoh untuk berkesan dan berbeza tempoh kecepatan dan keberkesanan,sesetengah ubat memerlu tempoh untuk berkes dan berbeza tempoh kecepat dan keberkesan
228, Jangan malu kerana ia boleh menganggu rawatan dan menyebabkan kita mudah berputus asa,jang malu kerana ia boleh menghingga rawat dan menyebab k mudah berputus sebagai
229, Hadir bersama ahli keluarga atau kawan agar mereka juga faham rawatan dan situasi kita,hadir bersama ahli keluarga atau ka agar mereka juga faham rawat dan situasi k
230, Mungkin ahli keluarga dan kawan boleh mengajukan soalan kita kalau kita malu,mungkin ahli keluarga dan ka boleh mengaju soal k kalau k malu
231, Pastikan anda faham rawatan dan arahan doktor,pasti anda faham rawat dan arah doktor
232,4,empat
233, Banyakkan bersabar dan lakukan akitiviti yang mendatangkan keseronokan,banyak bersabar dan laku aktiviti yang mendatang keserono
234, Bersenam merupakan aktiviti yang sangat membantu 5,bersenam merupa aktiviti yang sangat membantu lima
235, Jangan mudah menghukum orang pesakit pskiatrik,jang mudah menghukum orang pesakit psikiatrik
236," Ada yang kata kena sihir, gangguan jin dan pelbagai lagi yang boleh menyebabkan pesakit bertambah murung","ada yang kata kena sihir , ganggu jin dan pelbagai lagi yang boleh menyebab pesakit bertambah murung"
237," Apa yang kita boleh lakukan adalah dengan memberi kata semangat, motivasi dan doa","apa yang k boleh laku ada deng memberi kata semangat , motivasi dan doa"
238,6,enam
239," Tidak dinafikan ada kes yang melibatkan gangguan alam ghaib tetapi pada masa yang sama, berikhtiarlah dengan perawat bertauliah, professional dan rawatan yang terbukti dikaji dan berkesan di peringkat kinikal","tidak dinafi ada kes yang melibat ganggu alam ghaib tetapi pada masa yang sama , berikhtiar  deng perawat bertauliah , profesional dan rawat yang terbukti dikaji dan berkes di peringkat klinikal"
240," Pendek kata, produk produk jualan di pasaran yang mendakwa boleh menyembuhkan penyakit psikiatrik mahupun fizikal adalah berkemungkinan besar merugikan duit dan tidak berkesan","pendek kata , produk produk jual di pasar yang mendakwa boleh menyembuh penyakit psikiatri mahupun fizikal ada berkemungkin besar merugi duit dan tidak berkes"
241," Sekalipun berkesan, mungkin jangka pendek sahaja dan penjual produk tidak ada follow-up dan guideline yang diiktiraf","sekalipun berkes , mungkin jangka pendek sahaja dan penjual produk tidak ada ikuti - naik dan garis pandu yang diiktiraf"
242," Para penjual produk, tolong jangan ambil kesempatan ke atas para pesakit untuk keuntungan semata ye","para penjual produk , tolong jang ambil kesempat ke atas para pesakit untuk keuntung semata ya"
243, Banyak orang cuba mencadangkan produk-produk ini kepada saya tetapi saya tidak mengambilnya,banyak orang cuba mencadang produk - produk ini kepada saya tetapi saya tidak mengambil
244," Akta Perubatan melarang para penjual mengiklankan produk yang boleh menyembuhkan 20 jenis penyakit, salah satunya penyakit psikiatrik","akta perubat melarang para penjual mengiklan produk yang boleh menyembuh dua puluh jenis penyakit , sa satu penyakit psikiatri"
245,7,tujuh
246, Banyakkan berdoa,banyak berdoa
247," Kepada yang Muslim, banyakkan solat sunat dan membaca Quran juga","kepada yang muslim , banyak solat sunat dan membaca qur juga"
248," Apa pun pegangan anda, fokuskan kepada aspek positif untuk sembuh","apa pun pegang anda , fokus kepada aspek positif untuk sembuh"
249, Ia mungkin sukar untuk dilakukan di peringkat awal depression kerana fikiran negatif akan selalu datang,ia mungkin sukar untuk dilaku di peringkat awal kemurung kerana pikir negatif akan selalu datang
250," Di sinilah pentingnya kawan dan keluarga untuk memberi kata kata positif, semangat dan dorongan","di sini  penting ka dan keluarga untuk memberi kata kata positif , semangat dan dorong"
251,8,lap
252, Suicidal ideation (fikiran untuk membunuh diri) biasa berlaku kepada pesakit psikiatrik terutamanya depression,bunuh diri ideasi ( pikir untuk membunuh diri ) biasa berlaku kepada pesakit psikiatri terutama kemurung
253, Amat penting untuk ahli keluarga dan rakan rakan mengenali simptom depression,amat penting untuk ahli keluarga dan rakan rakan mengenai simptom kemurung
254, Saya banyak berfikir mengenai mati tetapi alhamdulillah tidak ke tahap suicidal ideation,saya banyak berpikir mengenai mati tetapi alhamdulil tidak ke tahap bunuh diri ideasi
255, Suicidal attempt amat tinggi di kalangan wanita tetapi completed suicide lebih tinggi di kalangan lelaki,bunuh diri attempt amat tinggi di kalang wan tetapi completed bunuh diri lebih tinggi di kalang lelaki
256," Apa pun, hidup ini penuh dugaan dan cabaran tetapi ia juga diisi dengan kebahagiaan untuk yang berusaha","apa pun , hidup ini penuh duga dan cabar tetapi ia juga diisi deng kebahagia untuk yang berusaha"
257, Doakan agar saya diluaskan rezeki saya di dalam apa jua bidang (mana tahu saya kembali ke bidang perubatan) dan moga kita semua selalu memberi dorongan dan motivasi kepada satu sama lain,doa agar saya diluas rezeki saya di dalam apa jua bidang ( mana tahu saya kembali ke bidang perubat ) dan moga k semua selalu memberi dorong dan motivasi kepada satu sama lain
258," Terima kasih kerana membaca, moga ada manfaat untuk semua dan saya memohon maaf atas kekurangan penulisan saya","terima kasih kerana membaca , moga ada manfaat untuk semua dan saya memohon maaf atas kekurang penulis saya"
259," Selamat berjuang dan percayalah, ada sinar harapan untuk kita semua 🙂 Penulis: F","selamat berjuang dan percaya  , ada sinar harap untuk k semua 🙂 penulis : f"
260, Ini kisah saya,ini kisah saya
261, Saya menulis dalam keadaan masih dalam dilema tapi penuh dengan rasa happy,saya menulis dalam keada masih dalam dilema tetapi penuh deng rasa gembira
262, Paling penting saya dah tak perlukan ssri ( antidepressant) untuk rasa betul betul gembira dengan hidup ini,paling penting saya dah tidak mengaparlu sri ( antidepressant ) untuk rasa betul betul gembira deng hidup ini
263, Alhamdulillah,alhamdulil
264, Dan ramadhan ini saya anggap satu platform untuk saya betul betul memohon dari Allah jalan mana yang perlu saya pilih untuk mencari rezeki,dan ramad ini saya anggap satu platform untuk saya betul betul memohon dari allah jal mana yang perlu saya pilih untuk mencari rezeki
265,Ya,ya
266, Saya masih lagi seorang houseman di sebuah hospital,saya masih lagi seorang houseman di sebuah hospital
267, Tapi dalam dilema untuk resign,tetapi dalam dilema untuk mengundurkan diri
268, Dalam masa kurang 2 tahun pengalaman housemanship saya,dalam masa kurang dua tahun pengalam housemanship saya
269, Saya kehilangan tiga insan yang menjadi tulang belakang saya,saya kehilang tiga ins yang menjadi tulang belakang saya
270,5 bulan bekerja atok saya meninggal di hospital sama saya bekerja,lima bul bekerja batok saya meninggal di hospital sama saya bekerja
271,8 bulan bekerja ayah saya meninggal di ccu juga di hospital sama saya bekerja,lap bul bekerja ayah saya meninggal di cu juga di hospital sama saya bekerja
272, Sayalah yang menghentikan cpr ayah saya sendiri yang dilakukan rakan sekerja saya,saya yang menghenti ceper ayah saya sendiri yang dilaku rakan sekerja saya
273, Saya baru sebulan posting medical masa tu,saya baru sebulu posting medical masa itu
274, Dan tu adalah pengalaman cpr kali kedua untuk saya,dan itu ada pengalam ceper kali kedua untuk saya
275,Betul betul saya hilang masa tu,betul betul saya hilang masa itu
276, Saya MIA(missing in action bermaksud tidak datang kerja),saya <allcaps> mia </allcaps> ( hilang masuk tinda bermaksud tidak datang kerja )
277, Didiagnos Major Depreasive Disorder,didiagnos utama depreasive ganggu
278, Ambil ubat,ambil ubat
279, Saya pergi hospital tapi tak mampu masuk wad,saya pergi hospital tetapi tidak mampu masuk wad
280, Saya dikira MIA,saya dikira <allcaps> mia </allcaps>
281, Jadi gaji saya disekat,jadi gaji saya disekat
282, Kemudian tahun yang sama nenek saya yang mengasuh dari kecil didiagnos kanser,kemudi tahun yang sama nenek saya yang mengasuh dari kecil diagnosa kanser
283, Masa tu sedikit motivasi untuk bekerja,masa itu sedikit motivasi untuk bekerja
284, Beliau pun sedih dengan keadaan saya,beliau pun sedih deng keada saya
285, Jadi saya teruskan bekerja tanpa gaji selama 4 bulan,jadi saya terus bekerja tanpa gaji selama empat bul
286, Hinggalah nenek saya menghembuskan nafas terakhir 2bulan lepas,hingga nenek saya menghembus nafas terakhir dua bul lepas
287, Dalam masa tersebut saya terlalu faham bahawa bukan mudah untuk memjaga orang yang sakit terlantar,dalam masa tersebut saya terlalu faham bahawa bu mudah untuk memjaga orang yang sakit terlatar
288, Seminggu selepas nenek saya meninggal saya mendapat notis pendek untuk bertukar hospital,seminggu selepas nenek saya meninggal saya mendapat notis pendek untuk bertukar hospital
289, Semua ni terlalu laju untuk saya,semua ini terlalu laju untuk saya
290, Saya tak sempat nak rsa apa apa,saya tidak sempat nak risa apa apa
291,Saya cuma mampu menarik nafas panjang,saya cuma mampu menarik nafas panjang
292, Jujurnya saya redha dengan semua ni walaupun terlalu sukar,jujur saya redha deng semua ini walaupun terlalu sukar
293, Cuma saya akan belajar redha juga jika menjadi seorang doktor bukan lagi rezeki saya,cuma saya akan belajar redha juga jika menjadi seorang doktor bu lagi rezeki saya
294, Semua yang jadi menyebabkan saya cepat jadi depressed,semua yang jadi menyebab saya cepat jadi terte
295, Pandangan saya tentang kehidupan banyak berubah,pandang saya tentang kehidup banyak berubah
296, Apatah lagi sekarang ni saya cuma ada ibu dan adik adik saya,apa lagi sekarang ini saya cuma ada ibu dan adik adik saya
297,Salah ke kalau saya rasa nak resign sebab nak duduk dengan family je,sa ke kalau saya rasa nak mengundurkan diri sebab nak duduk deng keluarga sahaja
298, Nak cari rezeki tapi nk family depan mata,nak cari rezeki tetapi nak keluarga dep mata
299, Salah ke kalau saya taknak terlalu stress then depressed? Salah ke?Penulis:  Umaira,sa ke kalau saya tidak nak terlalu tres kemudi terte ? sa ke ? penulis : umaira
300,Assalamualaikum semua,assalamualaikum semua
301, Nama aku Fezzul (bukan nama sebenar) umur aku dalam 22 tahun,nama aku fezzul ( bu nama sebenar ) umur aku dalam dua puluh dua tahun
302, Aku nak cerita pengalaman aku apabila disahkan menghidap depresi dan kemurungan,aku nak cer pengalam aku apabila disah menghidap depresi dan kemurung
303,Okay aku ni boleh dikatakan budak cerdik juga la sebab UPSR dan PMR aku straight A,okay aku ini boleh dikata budak cerdik juga  sebab <allcaps> upsr </allcaps> dan <allcaps> pmr </allcaps> aku lurus a
304, Cuma SPM aku je dpt 6A tapi aku tetap bersyukur,cuma <allcaps> spm </allcaps> aku sahaja dapat enam a tetapi aku tetap bersyukur
305, Then aku mohon la UPU untuk masuk universiti malangnya permohonan aku gagal,kemudi aku mohon  <allcaps> upu </allcaps> untuk masuk universiti malang permohon aku gagal
306, Aku cuba buat rayuan dan keputusan still sama aku gagal,aku cuba buat rayu dan keputus masih ada sama aku gagal
307,Aku kecewa dan sedih la jugak sebab kawan2 semua smbung belajar masuk universiti,aku kecewa dan sedih  juga sebab ka - ka semua sambung belajar masuk universiti
308, Okay takpa la aku teruskan belajar dgn ambik STPM di sekolah dan Alhamdulilah aku berjaya grad dgn CGPA 3,okay taka  aku terus belajar deng ambil <allcaps> stpm </allcaps> di seko dan alhamduli aku berjaya grad deng <allcaps> cgpa </allcaps> tiga
309,6 Aku berasa gembira sngat time tu,enam aku berasa gembira sangat masa itu
310,Nak jadikan cerita lepastu aku dapat tawaran masuk universiti awam yang top la jugak di Malaysia dalam kos pendidikan,nak jadi cer lepas itu aku dapat tawar masuk universiti awam yang atas  juga di malaysia dalam kos pendidi
311, Aku gembira sngat,aku gembira sangat
312, Nak jadikan cerita sebulan aku stay di sana aku rasa stress sangat sebab aku pi kelas naik bas,nak jadi cer sebulu aku tinggal di sana aku rasa tres sangat sebab aku pi kelas naik bas
313, Nak naik bas pula kena tunggu dan keadaan dalam bas tu sentiasa penuh dengan orang,nak naik bas pula kena tunggu dan keada dalam bas itu sentiasa penuh deng orang
314,Aku pernah lewat kena marah dengan lecture sebab lambat datang kelas pada hari pertama sedangkan aku bukan tertidur ke sengaja datang lewat cuma bas tu dah penuh aku terpaksa tunggu bas lain datang pula la,aku pernah lewat kena marah deng kuliah sebab lambat datang kelas pada hari pertama sedang aku bu tertidur ke sengaja datang lewat cuma bas itu dah penuh aku terpaksa tunggu bas lain datang pula 
315, Dan universiti aku ni pula besar first time datang nak daftar dulu pon aku sesat tak jumpa jalan,dan universiti aku ini pula besar pertama masa datang nak daftar dahulu pun aku sesat tidak jumpa jal
316,Macam2 terjadi dekat aku dekat sana,macam2 terjadi dekat aku dekat sana
317, Dalam sebulan tu jgak wifi universiti tak boleh nak connect dengan laptop aku,dalam sebulu itu jigoku wifi universiti tidak boleh nak sambung deng laptop aku
318, Aku stress,aku tres
319, Terpaksa pergi Pusat Teknologi maklumat jalan kaki jauh la jugak sebab nak settlekan masalah ni,terpaksa pergi pusat teknologi maklumat jal kaki jauh  juga sebab nak setatal masa ini
320,2 kali aku pergi ulang alik jalan kaki penat tau sampai ja sana terus berpeluh,dua kali aku pergi ulang alik jal kaki penat tahu sampai sahaja sana terus berpeluh
321, Aku bukan tak nak naik bus cuma aku tak tahu sama ada bus tu berhenti ke tidak kat pusat teknologi tu,aku bu tidak mahu naik bus cuma aku tidak tahu sama ada bus itu berhenti ke tidak dekat pusat teknologi itu
322, Daripada sesat aku ambik keputusan jalan kaki,daripada sesat aku ambil keputus jal kaki
323,Dan apa yang malang lagi roomate aku pula jenis buat hal sendiri je,dan apa yang malang lagi roomata aku pula jenis buat hal sendiri sahaja
324, Tak pernah nak ambil kisah pasal aku ni,tidak mengaparna nak ambil kisah pasal aku ini
325, Aku nak survive kat sini pon susah sebab aku tak ada kawan dan aku pula bukan jenis cepat bergaul dengan orang,aku nak bertahan hidup dekat sini pun susah sebab aku tidak ada ka dan aku pula bu jenis cepat bergaul deng orang
326,So memang susah la bagi aku nak survive kat universiti tambah pula dengan banyak esaimen dan grup wassap melibatkan universiti saja ada sampai 24 grup,jadi memang susah  bagi aku nak bertahan hidup dekat universiti tambah pula deng banyak esaimen dan gerup wasap melibat universiti sahaja ada sampai dua puluh empat gerup
327, Mesej chat sentiasa masuk sampai aku rasa lemas,mesej chat sentiasa masuk sampai aku rasa lemas
328,Semua ni buatkan aku stress overthinking dan sampai satu tahap aku tak boleh tidur malam,semua ini buat aku tres overthinking dan sampai satu tahap aku tidak boleh tidur malam
329, Otak aku tak berhenti berfikir dan aku serabut fikir banyak masalah sampai satu tahap aku keluar seorang pergi mall sebab nak release stress dan di situlah timbul satu idea nak bunuh diri,otak aku tidak berhenti berpikir dan aku serabut fikir banyak masa sampai satu tahap aku keluar seorang pergi mal sebab nak pelepas tres dan di situ  timbul satu idea nak bunuh diri
330, Time ni aku ada dekat mall tingkat atas dan aku dengar suara orang berbisik “best jugak kalau terjun ni”,"masa ini aku ada dekat mal tingkat atas dan aku dengar suara orang berbisik "" terbaik juga kalau terjun ini """
331,Start dari situ aku dah tak boleh nak kawal diri aku,mula dari situ aku dah tidak boleh nak kawal diri aku
332, Aku rasa otak aku ni dah lost sekejap,aku rasa otak aku ini dah hilang sekejap
333, Tapi aku tak layan perasaan macam tu,tetapi aku tidak lay perasa macam itu
334, Aku terus call parents kata depress rasa nak bunuh diri,aku terus panggil parents kata depress rasa nak bunuh diri
335, Aku menangis dan aku cerita kat parents aku macam2 jadi dekat universiti sampai aku depress sangat,aku menangis dan aku cer dekat parents aku macam - macam jadi dekat universiti sampai aku depress sangat
336,Dan malam tu jugak aku ambik keputusan nak balik rumah,dan malam itu juga aku ambil keputus nak balik rumah
337, Sebab aku memang rasa ada yang pelik dengan diri aku,sebab aku memang rasa ada yang pelik deng diri aku
338, Aku tak macam aku yang selalu,aku tidak macam aku yang selalu
339, Aku pon tak tahu macam mana aku boleh depress sampai tahap macam tu sekali,aku pun tidak tahu macam mana aku boleh depress sampai tahap macam itu sekali
340, Aku bersyukur sebab akhirnya sampai juga rumah walaupon time tu otak aku dah tak betul,aku bersyukur sebab akhir sampai juga rumah walaupon masa itu otak aku dah tidak betul
341, Aku menangis teruk dan give up dengan life kat sana,aku menangis teruk dan beri naik deng kehidup dekat sana
342,Aku beritahu parents nak berhenti belajar,aku beritahu parents nak berhenti belajar
343, Lepas je berhenti belajar aku kemurungan pula,lepas sahaja berhenti belajar aku kemurung pula
344, Aku tak dak selera nak makan,aku tidak indak selera nak ma
345, Otak aku 24 jam fikir nak mati,otak aku dua puluh empat jam fikir nak mati
346, Aku kecewa dengan diri sendiri sebab tak boleh nak survive kat universiti sedangkan antara goals aku adalah nak masuk universiti,aku kecewa deng diri sendiri sebab tidak boleh nak bertahan hidup dekat universiti sedang antara goals aku ada nak masuk universiti
347, Aku selalu rasa nak cederakan diri aku,aku selalu rasa nak cedera diri aku
348, Aku meroyan teruk,aku meroy teruk
349, Dan aku tak boleh nak tidur malam,dan aku tidak boleh nak tidur malam
350,  Otak ni kalau tak dapat rest atau tidur secukupnya memang tak boleh nak fikir dengan waras,otak ini kalau tidak dapat rest atau tidur secukup memang tidak boleh nak fikir deng waras
351, Dan smpai 3 hari aku tak mandi,dan sampai tiga hari aku tidak mandi
352, Rasa betul2 hopeless,rasa betul - betul tiada harap
353, Dan 3 bulan tu juga aku tak keluar rumah sebab takut dengan orang sekeliling,dan tiga bul itu juga aku tidak keluar rumah sebab takut deng orang sekeliling
354, Dunia aku jadi gelap,dunia aku jadi gelap
355,Dan parents aku tengok keadaan aku makin teruk parents bawa pi rawatan islam,dan parents aku tengok keada aku makin teruk parents bawa pi rawat islam
356, (Time ni aku dengan parents tak tahu lagi yang aku kena penyakit depression),( masa ini aku deng parents tidak tahu lagi yang aku kena penyakit kemurung )
357, Merata pi berubat sampai ada ustaz seorang ni kata aku ada saka,merata pi berubat sampai ada ustaz seorang ini kata aku ada saka
358, Tapi aku rasa aku tak ada gangguan makhluk halus pon sebenarnya,tetapi aku rasa aku tidak ada ganggu makhluk halus pun sebenar
359, Sampai la satu hari ada orang suggest dekat parents aku suruh bawa pergi hospital pakar psikatrik,sampai  satu hari ada orang cadang dekat parents aku suruh bawa pergi hospital pakar psikiatrik
360,First time jumpa doktor aku rasa takut sangat,pertama masa jumpa doktor aku rasa takut sangat
361, Aku tak boleh nak pandang dan bercakap dengan doktor sebab otak aku 24 jam overthinking,aku tidak boleh nak pandang dan bercakap deng doktor sebab otak aku dua puluh empat jam overthinking
362, Aku just tunduk ketakutan dan aku menangis non stop,aku ha tunduk ketakut dan aku menangis bu berhenti
363, Keadaan aku time tu sangat la lemah dan penat sebab otak non stop berfikir je,keada aku masa itu sangat  lemah dan penat sebab otak bu berhenti berpikir sahaja
364, Dan aku juga susah nak fokus dan mudah lupa,dan aku juga susah nak fokus dan mudah lupa
365, Aku juga mengalami lupa ingatan sementara,aku juga mengalami lupa ingat sementara
366,Doktor tu kata kat parents aku bawa balik dulu nanti jumpa lagi,doktor itu kata dekat parents aku bawa balik dahulu nanti jumpa lagi
367, And doktor tu bagi aku ubat banyak gila nak kena makan,dan doktor itu bagi aku ubat banyak gila nak kena ma
368, Aku balik dan hari2 aku makan ubat,aku balik dan hari - hari aku ma ubat
369, Alhamdulilah aku dah boleh tidur malam dan aku boleh kawal emosi aku,alhamduli aku dah boleh tidur malam dan aku boleh kawal emosi aku
370,2 bulan selepas tu aku semakin baik dan sembuh,dua bul selepas itu aku semakin baik dan sembuh
371, Aku jumpa doktor tu lagi dan time tu baru ada keyakinan nak bercakap dengan doktor,aku jumpa doktor itu lagi dan masa itu baru ada keyakin nak bercakap deng doktor
372, Dan doktor sahkan aku menghidap depresi dan kemurungan,dan doktor sah aku menghidap depresi dan kemurung
373, Doktor kata antara salah satu punca dia adalah kurang tidur,doktor kata antara sa satu punca dia ada kurang tidur
374, Doktor selalu ingatkan aku supaya tidur kena cukup,doktor selalu ingat aku supaya tidur kena cukup
375,Dan sekarang aku masih lagi menerima rawatan 3 bulan sekali,dan sekarang aku masih lagi menerima rawat tiga bul sekali
376, Kadang2 aku rasa sedih hidup tengok kawan2 berjaya dan pergi belajar sedangkan aku sekarang menganggur ja,kadang2 aku rasa sedih hidup tengok ka - ka berjaya dan pergi belajar sedang aku sekarang menganggur sahaja
377, Aku sempat kerja sebagai cikgu ganti selama 2 bulan selepas saja aku sembuh dari penyakit ni tapi dah habis tempoh kontrak,aku sempat kerja sebagai cikgu ganti selama dua bul selepas sahaja aku sembuh dari penyakit ini tetapi dah habis tempoh kontrak
378, Parents aku ada juga suruh apply kerja tapi aku tak berminat nak kerja benda yang aku tak suka,parents aku ada juga suruh memohon kerja tetapi aku tidak berminat nak kerja benda yang aku tidak suka
379,Buat masa sekarang aku masih lagi menunggu panggilan kerja sebagai guru ganti sebab hati aku ni tak terbuka nak kerja benda lain,buat masa sekarang aku masih lagi menunggu panggil kerja sebagai guru ganti sebab hati aku ini tidak terbuka nak kerja benda lain
380, Aku semakin baik cuma aku kadang2 ada juga la rasa murung tu,aku semakin baik cuma aku kadang - kadang ada juga  rasa murung itu
381, Aku dah tak happy macam dulu lagi,aku dah tidak gembira macam dahulu lagi
382, Aku tetap bersyukur walaupon aku rasa ujian aku ni berat sangat tapi aku masih bernyawa lagi,aku tetap bersyukur walaupon aku rasa uji aku ini berat sangat tetapi aku masih bernyawa lagi
383, Allah tetap bagi aku hidup lagi,allah tetap bagi aku hidup lagi
384,Semua yang berlaku pasti ada hikmahnya,semua yang berlaku pasti ada hikmah
385, Tapi kadang2 aku fikir juga kenapa Allah bagi aku ujian macam ni penyakit yang luar nampak normal tapi dalam tu merana sangat,tetapi kadang - kadang aku fikir juga kenapa allah bagi aku uji macam ini penyakit yang luar menampak normal tetapi dalam itu merana sangat
386,Aku tak tahu nak cerita penyakit aku dekat orang sebab kalau aku cerita pon mereka tak akan faham,aku tidak tahu nak cer penyakit aku dekat orang sebab kalau aku cer pun mereka tidak akan faham
387, Mesti mereka akan judge aku yang aku ni lemah iman sedangkan aku dulu dekat universiti subuh dekat surau,mesti mereka akan Hakim aku yang aku ini lemah im sedang aku dahulu dekat universiti subuh dekat surau
388, Solat lima waktu,solat lima waktu
389,Apa pon doakan aku dipermudahkan urusan nak sambung belajar balik dalam bulan 9 tahun ni,apa pun doa aku dipermudah urus nak sambung belajar balik dalam bul sembil tahun ini
390, Cuma sekarang aku buntu nak buat apa kat rumah lama²,cuma sekarang aku buntu nak buat apa dekat rumah lama - lama
391, Bosan teruk dengan takda kawan,bos teruk deng tiada ka
392, Itu saja cerita aku,itu sahaja cer aku
393, Terima kasih,terima kasih
394,– Fezzul  (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc,– fezzul ( bu nama sebenar ) hantar pengaku anda di sini - > https :// iium
395, com/submit,com / mengemuka
396,"Hari ini, aku dapat tahu sendiri kenapa orang murung tak dapatkan pertolongan","hari ini , aku dapat tahu sendiri kenapa orang murung tidak dapat pertolong"
397,Aku pergi klinik kesihatan hari ni,aku pergi klinik kesihat hari ini
398," Dalam dua minggu lepas, perasaan yang dah lama aku tak rasa datang balik","dalam dua minggu lepas , perasa yang dah lama aku tidak rasa datang balik"
399, Dulu masa aku belajar dan masa aku bujang selalu la perasaan tu datang,dahulu masa aku belajar dan masa aku bujang selalu  perasa itu datang
400,Seingat aku ini kali pertama datang perasaan yang sama macam dulu sejak aku kahwin,seingat aku ini kali pertama datang perasa yang sama macam dahulu sejak aku kahwin
401, Pencetusnya? Aku pun tak tahu,pencetus ? aku pun tidak tahu
402,"Dalam dua minggu lepas, aku memang rasa down sangat","dalam dua minggu lepas , aku memang rasa down sangat"
403, Tanpa sebab,tanpa sebab
404, Rasa sedih,rasa sedih
405, Rasa malas bangun tidur,rasa malas bangun tidur
406, Aku bangun untuk solat subuh je,aku bangun untuk solat subuh sahaja
407, Itu pun kadang2 aku burn subuh,itu pun kadang - kadang aku terbakar subuh
408," Lepas subuh, aku tidur balik","lepas subuh , aku tidur balik"
409, Takde semangat langsung nak bangun,tidak ada semangat langsung nak bangun
410," Oh, aku kerja ikut suka aku","oh , aku kerja ikut suka aku"
