raw text,token text,category
Dan malam tu jugak aku ambik keputusan nak balik rumah,"['dan', 'malam', 'itu', 'juga', 'aku', 'ambil', 'putus', 'nak', 'balik', 'rumah']",non-deppressive
 Sebab aku memang rasa ada yang pelik dengan diri aku,"['sebab', 'aku', 'memang', 'rasa', 'ada', 'yang', 'pelik', 'deng', 'diri', 'aku']",symptom
 Aku tak macam aku yang selalu,"['aku', 'tidak', 'macam', 'aku', 'yang', 'selalu']",symptom
 Aku pon tak tahu macam mana aku boleh depress sampai tahap macam tu sekali,"['aku', 'pun', 'tidak', 'tahu', 'macam', 'mana', 'aku', 'boleh', 'depress', 'sampai', 'tahap', 'macam', 'itu', 'sekali']",symptom
 Aku bersyukur sebab akhirnya sampai juga rumah walaupon time tu otak aku dah tak betul,"['aku', 'syukur', 'sebab', 'akhir', 'sampai', 'juga', 'rumah', 'walaupon', 'masa', 'itu', 'otak', 'aku', 'dah', 'tidak', 'betul']",non-deppressive
 Aku menangis teruk dan give up dengan life kat sana,"['aku', 'menang', 'teruk', 'dan', 'beri', 'naik', 'deng', 'hidup', 'dekat', 'sana']",symptom
Aku beritahu parents nak berhenti belajar,"['aku', 'beritahu', 'parents', 'nak', 'henti', 'bajar']",non-deppressive
 Lepas je berhenti belajar aku kemurungan pula,"['lepas', 'sahaja', 'henti', 'bajar', 'aku', 'murung', 'pula']",symptom
 Aku tak dak selera nak makan,"['aku', 'tidak', 'indak', 'selera', 'nak', 'ma']",symptom
 Otak aku 24 jam fikir nak mati,"['otak', 'aku', 'dua', 'puluh', 'empat', 'jam', 'fikir', 'nak', 'mati']",symptom
 Aku kecewa dengan diri sendiri sebab tak boleh nak survive kat universiti sedangkan antara goals aku adalah nak masuk universiti,"['aku', 'rewa', 'deng', 'diri', 'sendiri', 'sebab', 'tidak', 'boleh', 'nak', 'tahan', 'hidup', 'dekat', 'universiti', 'sedang', 'antara', 'goals', 'aku', 'ada', 'nak', 'masuk', 'universiti']",symptom
 Aku selalu rasa nak cederakan diri aku,"['aku', 'selalu', 'rasa', 'nak', 'cedera', 'diri', 'aku']",symptom
 Aku meroyan teruk,"['aku', 'meroy', 'teruk']",symptom
 Dan aku tak boleh nak tidur malam,"['dan', 'aku', 'tidak', 'boleh', 'nak', 'tidur', 'malam']",symptom
  Otak ni kalau tak dapat rest atau tidur secukupnya memang tak boleh nak fikir dengan waras,"['otak', 'ini', 'kalau', 'tidak', 'dapat', 'rest', 'atau', 'tidur', 'cukup', 'memang', 'tidak', 'boleh', 'nak', 'fikir', 'deng', 'waras']",symptom
 Dan smpai 3 hari aku tak mandi,"['dan', 'sampai', 'tiga', 'hari', 'aku', 'tidak', 'mandi']",symptom
 Rasa betul2 hopeless,"['rasa', 'betul', 'betul', 'tiada', 'harap']",symptom
 Dan 3 bulan tu juga aku tak keluar rumah sebab takut dengan orang sekeliling,"['dan', 'tiga', 'bul', 'itu', 'juga', 'aku', 'tidak', 'keluar', 'rumah', 'sebab', 'takut', 'deng', 'orang', 'keliling']",symptom
 Dunia aku jadi gelap,"['dunia', 'aku', 'jadi', 'gelap']",symptom
Dan parents aku tengok keadaan aku makin teruk parents bawa pi rawatan islam,"['dan', 'parents', 'aku', 'tengok', 'ada', 'aku', 'makin', 'teruk', 'parents', 'bawa', 'pi', 'rawat', 'islam']",non-deppressive
 (Time ni aku dengan parents tak tahu lagi yang aku kena penyakit depression),"['masa', 'ini', 'aku', 'deng', 'parents', 'tidak', 'tahu', 'lagi', 'yang', 'aku', 'kena', 'sakit', 'murung']",non-deppressive
 Merata pi berubat sampai ada ustaz seorang ni kata aku ada saka,"['rata', 'pi', 'ubat', 'sampai', 'ada', 'ustaz', 'orang', 'ini', 'kata', 'aku', 'ada', 'saka']",non-deppressive
 Tapi aku rasa aku tak ada gangguan makhluk halus pon sebenarnya,"['tetapi', 'aku', 'rasa', 'aku', 'tidak', 'ada', 'ganggu', 'makhluk', 'halus', 'pun', 'benar']",non-deppressive
 Sampai la satu hari ada orang suggest dekat parents aku suruh bawa pergi hospital pakar psikatrik,"['sampai', 'satu', 'hari', 'ada', 'orang', 'cadang', 'dekat', 'parents', 'aku', 'suruh', 'bawa', 'pergi', 'hospital', 'pakar', 'psikiatr']",non-deppressive
First time jumpa doktor aku rasa takut sangat,"['pertama', 'masa', 'jumpa', 'doktor', 'aku', 'rasa', 'takut', 'sangat']",symptom
 Aku tak boleh nak pandang dan bercakap dengan doktor sebab otak aku 24 jam overthinking,"['aku', 'tidak', 'boleh', 'nak', 'pandang', 'dan', 'cakap', 'deng', 'doktor', 'sebab', 'otak', 'aku', 'dua', 'puluh', 'empat', 'jam', 'overthinking']",symptom
 Aku just tunduk ketakutan dan aku menangis non stop,"['aku', 'ha', 'tunduk', 'takut', 'dan', 'aku', 'menang', 'bu', 'henti']",symptom
 Keadaan aku time tu sangat la lemah dan penat sebab otak non stop berfikir je,"['ada', 'aku', 'masa', 'itu', 'sangat', 'lemah', 'dan', 'penat', 'sebab', 'otak', 'bu', 'henti', 'pikir', 'sahaja']",symptom
 Dan aku juga susah nak fokus dan mudah lupa,"['dan', 'aku', 'juga', 'susah', 'nak', 'fokus', 'dan', 'mudah', 'lupa']",symptom
 Aku juga mengalami lupa ingatan sementara,"['aku', 'juga', 'alami', 'lupa', 'ingat', 'sementara']",symptom
Doktor tu kata kat parents aku bawa balik dulu nanti jumpa lagi,"['doktor', 'itu', 'kata', 'dekat', 'parents', 'aku', 'bawa', 'balik', 'dahulu', 'nanti', 'jumpa', 'lagi']",non-deppressive
 And doktor tu bagi aku ubat banyak gila nak kena makan,"['dan', 'doktor', 'itu', 'bagi', 'aku', 'ubat', 'banyak', 'gila', 'nak', 'kena', 'ma']",medical history
 Aku balik dan hari2 aku makan ubat,"['aku', 'balik', 'dan', 'hari', 'hari', 'aku', 'ma', 'ubat']",non-deppressive
 Alhamdulilah aku dah boleh tidur malam dan aku boleh kawal emosi aku,"['alhamduli', 'aku', 'dah', 'boleh', 'tidur', 'malam', 'dan', 'aku', 'boleh', 'kawal', 'emosi', 'aku']",non-deppressive
2 bulan selepas tu aku semakin baik dan sembuh,"['dua', 'bul', 'lepas', 'itu', 'aku', 'makin', 'baik', 'dan', 'sembuh']",non-deppressive
 Aku jumpa doktor tu lagi dan time tu baru ada keyakinan nak bercakap dengan doktor,"['aku', 'jumpa', 'doktor', 'itu', 'lagi', 'dan', 'masa', 'itu', 'baru', 'ada', 'yakin', 'nak', 'cakap', 'deng', 'doktor']",non-deppressive
 Dan doktor sahkan aku menghidap depresi dan kemurungan,"['dan', 'doktor', 'sah', 'aku', 'menghidap', 'depresi', 'dan', 'murung']",medical history
 Doktor kata antara salah satu punca dia adalah kurang tidur,"['doktor', 'kata', 'antara', 'sa', 'satu', 'punca', 'dia', 'ada', 'kurang', 'tidur']",medical history
 Doktor selalu ingatkan aku supaya tidur kena cukup,"['doktor', 'selalu', 'ingat', 'aku', 'supaya', 'tidur', 'kena', 'cukup']",medical history
Dan sekarang aku masih lagi menerima rawatan 3 bulan sekali,"['dan', 'sekarang', 'aku', 'masih', 'lagi', 'terima', 'rawat', 'tiga', 'bul', 'sekali']",medical history
 Kadang2 aku rasa sedih hidup tengok kawan2 berjaya dan pergi belajar sedangkan aku sekarang menganggur ja,"['kadangeb', 'aku', 'rasa', 'sedih', 'hidup', 'tengok', 'ka', 'ka', 'jaya', 'dan', 'pergi', 'bajar', 'sedang', 'aku', 'sekarang', 'anggur', 'sahaja']",risk factor
 Aku sempat kerja sebagai cikgu ganti selama 2 bulan selepas saja aku sembuh dari penyakit ni tapi dah habis tempoh kontrak,"['aku', 'sempat', 'kerja', 'bagai', 'cikgu', 'ganti', 'lama', 'dua', 'bul', 'lepas', 'sahaja', 'aku', 'sembuh', 'dari', 'sakit', 'ini', 'tetapi', 'dah', 'habis', 'tempoh', 'kontrak']",non-deppressive
 Parents aku ada juga suruh apply kerja tapi aku tak berminat nak kerja benda yang aku tak suka,"['parents', 'aku', 'ada', 'juga', 'suruh', 'mohon', 'kerja', 'tetapi', 'aku', 'tidak', 'minat', 'nak', 'kerja', 'benda', 'yang', 'aku', 'tidak', 'suka']",non-deppressive
Buat masa sekarang aku masih lagi menunggu panggilan kerja sebagai guru ganti sebab hati aku ni tak terbuka nak kerja benda lain,"['buat', 'masa', 'sekarang', 'aku', 'masih', 'lagi', 'tunggu', 'panggil', 'kerja', 'bagai', 'guru', 'ganti', 'sebab', 'hati', 'aku', 'ini', 'tidak', 'buka', 'nak', 'kerja', 'benda', 'lain']",non-deppressive
 Aku semakin baik cuma aku kadang2 ada juga la rasa murung tu,"['aku', 'makin', 'baik', 'cuma', 'aku', 'kadang', 'kadang', 'ada', 'juga', 'rasa', 'murung', 'itu']",symptom
 Aku dah tak happy macam dulu lagi,"['aku', 'dah', 'tidak', 'gembira', 'macam', 'dahulu', 'lagi']",symptom
 Aku tetap bersyukur walaupon aku rasa ujian aku ni berat sangat tapi aku masih bernyawa lagi,"['aku', 'tetap', 'syukur', 'walaupon', 'aku', 'rasa', 'uji', 'aku', 'ini', 'berat', 'sangat', 'tetapi', 'aku', 'masih', 'nyawa', 'lagi']",non-deppressive
 Allah tetap bagi aku hidup lagi,"['allah', 'tetap', 'bagi', 'aku', 'hidup', 'lagi']",non-deppressive
Semua yang berlaku pasti ada hikmahnya,"['semua', 'yang', 'laku', 'pasti', 'ada', 'hikmah']",non-deppressive
 Tapi kadang2 aku fikir juga kenapa Allah bagi aku ujian macam ni penyakit yang luar nampak normal tapi dalam tu merana sangat,"['tetapi', 'kadang', 'kadang', 'aku', 'fikir', 'juga', 'kenapa', 'allah', 'bagi', 'aku', 'uji', 'macam', 'ini', 'sakit', 'yang', 'luar', 'tampak', 'normal', 'tetapi', 'dalam', 'itu', 'merana', 'sangat']",non-deppressive
Aku tak tahu nak cerita penyakit aku dekat orang sebab kalau aku cerita pon mereka tak akan faham,"['aku', 'tidak', 'tahu', 'nak', 'cer', 'sakit', 'aku', 'dekat', 'orang', 'sebab', 'kalau', 'aku', 'cer', 'pun', 'mereka', 'tidak', 'akan', 'faham']",risk factor
 Mesti mereka akan judge aku yang aku ni lemah iman sedangkan aku dulu dekat universiti subuh dekat surau,"['mesti', 'mereka', 'akan', 'hakim', 'aku', 'yang', 'aku', 'ini', 'lemah', 'im', 'sedang', 'aku', 'dahulu', 'dekat', 'universiti', 'subuh', 'dekat', 'surau']",risk factor
 Solat lima waktu,"['solat', 'lima', 'waktu']",non-deppressive
Apa pon doakan aku dipermudahkan urusan nak sambung belajar balik dalam bulan 9 tahun ni,"['apa', 'pun', 'doa', 'aku', 'mudah', 'urus', 'nak', 'sambung', 'bajar', 'balik', 'dalam', 'bul', 'sembil', 'tahun', 'ini']",non-deppressive
 Cuma sekarang aku buntu nak buat apa kat rumah lama²,"['cuma', 'sekarang', 'aku', 'buntu', 'nak', 'buat', 'apa', 'dekat', 'rumah', 'lama', 'lama']",non-deppressive
 Bosan teruk dengan takda kawan,"['bos', 'teruk', 'deng', 'tiada', 'ka']",non-deppressive
 Itu saja cerita aku,"['itu', 'sahaja', 'cer', 'aku']",non-deppressive
 Terima kasih,"['terima', 'kasih']",non-deppressive
– Fezzul  (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc,"['angan', 'fezzul', 'bu', 'nama', 'benar', 'hantar', 'pengi', 'anda', 'di', 'sini', 'htps', 'iium']",non-deppressive
 com/submit,"['com', 'muka']",non-deppressive
"Hari ini, aku dapat tahu sendiri kenapa orang murung tak dapatkan pertolongan","['hari', 'ini', 'aku', 'dapat', 'tahu', 'sendiri', 'kenapa', 'orang', 'murung', 'tidak', 'dapat', 'tolong']",non-deppressive
Aku pergi klinik kesihatan hari ni,"['aku', 'pergi', 'klinik', 'kesihat', 'hari', 'ini']",non-deppressive
" Dalam dua minggu lepas, perasaan yang dah lama aku tak rasa datang balik","['dalam', 'dua', 'minggu', 'lepas', 'asa', 'yang', 'dah', 'lama', 'aku', 'tidak', 'rasa', 'datang', 'balik']",medical history
 Dulu masa aku belajar dan masa aku bujang selalu la perasaan tu datang,"['dahulu', 'masa', 'aku', 'bajar', 'dan', 'masa', 'aku', 'bujang', 'selalu', 'asa', 'itu', 'datang']",medical history
Seingat aku ini kali pertama datang perasaan yang sama macam dulu sejak aku kahwin,"['ingat', 'aku', 'ini', 'kali', 'pertama', 'datang', 'asa', 'yang', 'sama', 'macam', 'dahulu', 'sejak', 'aku', 'kahwin']",medical history
 Pencetusnya? Aku pun tak tahu,"['cetus', 'aku', 'pun', 'tidak', 'tahu']",non-deppressive
"Dalam dua minggu lepas, aku memang rasa down sangat","['dalam', 'dua', 'minggu', 'lepas', 'aku', 'memang', 'rasa', 'down', 'sangat']",symptom
 Tanpa sebab,"['tanpa', 'sebab']",non-deppressive
 Rasa sedih,"['rasa', 'sedih']",symptom
 Rasa malas bangun tidur,"['rasa', 'malas', 'bangun', 'tidur']",symptom
 Aku bangun untuk solat subuh je,"['aku', 'bangun', 'untuk', 'solat', 'subuh', 'sahaja']",symptom
 Itu pun kadang2 aku burn subuh,"['itu', 'pun', 'kadang', 'kadang', 'aku', 'bakar', 'subuh']",symptom
" Lepas subuh, aku tidur balik","['lepas', 'subuh', 'aku', 'tidur', 'balik']",symptom
 Takde semangat langsung nak bangun,"['tidak', 'ada', 'semangat', 'langsung', 'nak', 'bangun']",symptom
" Oh, aku kerja ikut suka aku","['oh', 'aku', 'kerja', 'ikut', 'suka', 'aku']",symptom
 Kerja bebas,"['kerja', 'bebas']",symptom
Aku rasa sedih tak tentu pasal,"['aku', 'rasa', 'sedih', 'tidak', 'tentu', 'pasal']",symptom
 Takde sebab,"['tidak', 'ada', 'sebab']",symptom
 Rasa useless,"['rasa', 'tidak', 'guna']",symptom
 Rasa macam dulu la masa belajar,"['rasa', 'macam', 'dahulu', 'masa', 'bajar']",non-deppressive
 Masa bujang,"['masa', 'bujang']",non-deppressive
 Masa aku duduk sorang2,"['masa', 'aku', 'duduk', 'orang', 'orang']",non-deppressive
 Tapi ini kali pertama jadi lepas kahwin,"['tetapi', 'ini', 'kali', 'pertama', 'jadi', 'lepas', 'kahwin']",non-deppressive
 Otak aku asyik fikir kalau mati lagi best,"['otak', 'aku', 'asyik', 'fikir', 'kalau', 'mati', 'lagi', 'baik']",symptom
 Aku dah prepare dah untuk isteri dan anak aku duit,"['aku', 'dah', 'sedia', 'dah', 'untuk', 'isteri', 'dan', 'anak', 'aku', 'duit']",non-deppressive
" Tak banyak, tapi ada la","['tidak', 'banyak', 'tetapi', 'ada']",non-deppressive
" Tapi fikir je, takde la sampai aku nak campak nyawa aku sendiri","['tetapi', 'fikir', 'sahaja', 'tiada', 'sampai', 'aku', 'nak', 'campak', 'nyawa', 'aku', 'sendiri']",non-deppressive
" Cuma macam bayangkan, death by proxy","['cuma', 'macam', 'bayang', 'death', 'deng', 'proksi']",symptom
 Mati sebab accident ke,"['mati', 'sebab', 'malang', 'ke']",symptom
 Aku ada la iman lagi,"['aku', 'ada', 'im', 'lagi']",non-deppressive
 Aku tahu la dosa pahala,"['aku', 'tahu', 'dosa', 'pahala']",non-deppressive
"Satu malam dalam dua minggu lepas tu, aku scroll FB, search tentang depression","['satu', 'malam', 'dalam', 'dua', 'minggu', 'lepas', 'itu', 'aku', 'tatal', 'facebook', 'cari', 'tentang', 'murung']",non-deppressive
" Jumpa la satu page ni, Malaysia Suicide Alert (MESRA)","['jumpa', 'satu', 'page', 'ini', 'malaysia', 'bunuh', 'diri', 'amar', 'mesra']",non-deppressive
 Aku try la pm,"['aku', 'cuba', 'pm']",non-deppressive
 tak berbalas sampai sekarang,"['tidak', 'balas', 'sampai', 'sekarang']",non-deppressive
 Aku cuba la call Befrienders,"['aku', 'cuba', 'panggil', 'befrienders']",non-deppressive
 Tak dapat,"['tidak', 'dapat']",non-deppressive
 Tapi aku faham la sebab dah tengah malam,"['tetapi', 'aku', 'faham', 'sebab', 'dah', 'tengah', 'malam']",non-deppressive
" Serius aku cakap, memang waktu tu aku serabut","['serius', 'aku', 'cakap', 'memang', 'waktu', 'itu', 'aku', 'serabut']",non-deppressive
 Aku rasa berat sangat nak buat benda yang aku selalu buat,"['aku', 'rasa', 'berat', 'sangat', 'nak', 'buat', 'benda', 'yang', 'aku', 'selalu', 'buat']",symptom
 Aku rasa nak tidur je,"['aku', 'rasa', 'nak', 'tidur', 'sahaja']",symptom
 Aku monyok je,"['aku', 'monyok', 'sahaja']",symptom
 Keluar dengan family pun rasa tak happy,"['keluar', 'deng', 'keluarga', 'pun', 'rasa', 'tidak', 'gembira']",symptom
 Aku sedih je,"['aku', 'sedih', 'sahaja']",symptom
Aku jumpa satu link,"['aku', 'jumpa', 'satu', 'paut']",non-deppressive
 Questionnaire,"['soal', 'selidik']",non-deppressive
 Saringan Kesihatan Mental,"['saring', 'kesihat', 'mental']",non-deppressive
 Aku cuba la jawab,"['aku', 'cuba', 'jawab']",non-deppressive
" Dapat keputusan dalam email, dia suruh aku pergi ke Klinik Kesihatan","['dapat', 'putus', 'dalam', 'email', 'dia', 'suruh', 'aku', 'pergi', 'ke', 'klinik', 'kesihat']",non-deppressive
" Esoknya aku pergi, aku tunjuk kat kaunter klinik kesihatan, diorang pun blur","['esok', 'aku', 'pergi', 'aku', 'tunjuk', 'dekat', 'kaunter', 'klinik', 'kesihat', 'mereka', 'pun', 'kabur']",non-deppressive
 Tapi diorang suruh aku daftar dulu,"['tetapi', 'mereka', 'suruh', 'aku', 'daftar', 'dahulu']",non-deppressive
" Aku daftar, Aku tunggu lama","['aku', 'daftar', 'aku', 'tunggu', 'lama']",non-deppressive
 Pastu aku balik sebelum sempat diorang panggil aku,"['lepas', 'itu', 'aku', 'balik', 'belum', 'sempat', 'mereka', 'panggil', 'aku']",non-deppressive
" Aku fikir, takpe la, aku setel sendiri……I got better a few days later","['aku', 'fikir', 'taka', 'aku', 'setel', 'sendiri', 'angan', 'angan', 'saya', 'dapat', 'lebih', 'baik', 'a', 'beberapa', 'hari', 'kemudi']",non-deppressive
 Ada beberapa benda yang aku buat menjadi,"['ada', 'beberapa', 'benda', 'yang', 'aku', 'buat', 'jadi']",non-deppressive
 Aku semangat balik,"['aku', 'semangat', 'balik']",non-deppressive
 Aku ok balik,"['aku', 'okey', 'balik']",non-deppressive
 Tapi perasaan tu masih ada la,"['tetapi', 'asa', 'itu', 'masih', 'ada']",non-deppressive
" Aku start balik bangun awal pagi, ulang balik rutin dulu","['aku', 'mula', 'balik', 'bangun', 'awal', 'pagi', 'ulang', 'balik', 'rutin', 'dahulu']",non-deppressive
" Pastu hari ini, aku buat keputusan untuk pergi klinik kesihatan lagi sebab aku ada gatal-gatal tanpa ruam yang miang sesangat","['lepas', 'itu', 'hari', 'ini', 'aku', 'buat', 'putus', 'untuk', 'pergi', 'klinik', 'kesihat', 'lagi', 'sebab', 'aku', 'ada', 'gatal', 'gatal', 'tanpa', 'ruam', 'yang', 'miang', 'sangat']",non-deppressive
" Pergi klinik kali ni, aku tunggu","['pergi', 'klinik', 'kali', 'ini', 'aku', 'tunggu']",non-deppressive
 Tunggu sampai dipanggil masuk bilik doktor,"['tunggu', 'sampai', 'panggil', 'masuk', 'bilik', 'doktor']",non-deppressive
"Jumpa doktor, aku cerita pasal gatal-gatal","['jumpa', 'doktor', 'aku', 'cer', 'pasal', 'gatal', 'gatal']",non-deppressive
 Dan biasalah doktor klinik kerajaan,"['dan', 'biasa', 'doktor', 'klinik', 'raja']",non-deppressive
 Beban kerja terlalu banyak,"['beb', 'kerja', 'terlalu', 'banyak']",non-deppressive
 Memang cuba secepat mungkin untuk selesaikan patient,"['memang', 'cuba', 'cepat', 'mungkin', 'untuk', 'selesai', 'sakit']",non-deppressive
 Aku cuba cakap tentang ujian saringan depression yang aku ada ambil,"['aku', 'cuba', 'cakap', 'tentang', 'uji', 'saring', 'murung', 'yang', 'aku', 'ada', 'ambil']",non-deppressive
"Waktu ini, nampak gaya macam ada sinis sikit","['waktu', 'ini', 'tampak', 'gaya', 'macam', 'ada', 'sin', 'sikit']",non-deppressive
 Macam mana nak cakap ye? Macam gaya nak kata kita ni mengada-ada,"['macam', 'mana', 'nak', 'cakap', 'ya', 'macam', 'gaya', 'nak', 'kata', 'k', 'ini', 'ada', 'ada']",non-deppressive
" Mungkin aku sangka buruk, tapi aku orang sales, aku boleh baca sikit2 gaya orang ni","['mungkin', 'aku', 'sangka', 'buruk', 'tetapi', 'aku', 'orang', 'selesa', 'aku', 'boleh', 'baca', 'sikit', 'sikit', 'gaya', 'orang', 'ini']",non-deppressive
" But don’t get me wrong, the doctor was still professional","['tetapi', 'jang', 'nanti', 'dapat', 'saya', 'wrong', 'yang', 'doktor', 'ada', 'masih', 'ada', 'profesional']",non-deppressive
" Dia suruh aku ambil satu borang kat luar, suruh aku isi borang tu","['dia', 'suruh', 'aku', 'ambil', 'satu', 'borang', 'dekat', 'luar', 'suruh', 'aku', 'isi', 'borang', 'itu']",non-deppressive
 Borang DASS namanya,"['borang', 'dass', 'nama']",non-deppressive
Borang mengandungi soalan2 yang lebih kurang sama macam soalan saringan depression hari tu,"['borang', 'kandung', 'soal', 'soal', 'yang', 'lebih', 'kurang', 'sama', 'macam', 'soal', 'saring', 'murung', 'hari', 'itu']",non-deppressive
 Aku jawab la ikut arahan,"['aku', 'jawab', 'ikut', 'arah']",non-deppressive
" Arahannya, berdasarkan apa yang kita rasa dalam seminggu yang lepas","['arah', 'dasar', 'apa', 'yang', 'k', 'rasa', 'dalam', 'seminggu', 'yang', 'lepas']",non-deppressive
 Aku masih rasa,"['aku', 'masih', 'rasa']",non-deppressive
 Cuma dah kurang,"['cuma', 'dah', 'kurang']",non-deppressive
"Aku bawa balik masuk borang tu, Keputusan memang lebih kurang dengan saringan","['aku', 'bawa', 'balik', 'masuk', 'borang', 'itu', 'putus', 'memang', 'lebih', 'kurang', 'deng', 'saring']",non-deppressive
"  Kemurungan – Sangat TerukAnzieti – SederhanaStres – Sangat TerukOk, jumpa doktor balik","['murung', 'angan', 'sangat', 'terukanziet', 'angan', 'sederhanastres', 'angan', 'sangat', 'terukok', 'jumpa', 'doktor', 'balik']",non-deppressive
 Kesinisan bermula sekali lagi,"['sinis', 'mula', 'sekali', 'lagi']",non-deppressive
 Doktor tanya soalan untuk pastikan sama ada aku faham soalan yang ditanya dalam borang,"['doktor', 'tanya', 'soal', 'untuk', 'pasti', 'sama', 'ada', 'aku', 'faham', 'soal', 'yang', 'dita', 'dalam', 'borang']",non-deppressive
 Aku jawab,"['aku', 'jawab']",non-deppressive
" Ada cara doktor tu balas, itu biasa la","['ada', 'cara', 'doktor', 'itu', 'balas', 'itu', 'biasa']",non-deppressive
 Saya pun rasa macam tu,"['saya', 'pun', 'rasa', 'macam', 'itu']",non-deppressive
Cara doktor tanya macam menekan,"['cara', 'doktor', 'tanya', 'macam', 'mene']",risk factor
 Macam aku ni sungguh mengada-ada,"['macam', 'aku', 'ini', 'sungguh', 'ada', 'ada']",risk factor
" Ada satu part, aku beritahu tentang suicidal thoughts aku","['ada', 'satu', 'bahagi', 'aku', 'beritahu', 'tentang', 'bunuh', 'diri', 'thoughts', 'aku']",symptom
" Dia kata, “Tapi takde la nak buat apa-apa kan?” Dan dia juga ada cakap, “Tak bolehlah macam tu, bila terlintas, fikir anak isteri”","['dia', 'kata', 'tetapi', 'tiada', 'nak', 'buat', 'apa', 'apa', 'kan', 'dan', 'dia', 'juga', 'ada', 'cakap', 'tidak', 'boleh', 'macam', 'itu', 'bila', 'lintas', 'fikir', 'anak', 'isteri']",non-deppressive
 Aku pergi jumpa doktor sebab aku fikir anak isteri la,"['aku', 'pergi', 'jumpa', 'doktor', 'sebab', 'aku', 'fikir', 'anak', 'isteri']",non-deppressive
 Aku nak baik,"['aku', 'nak', 'baik']",non-deppressive
"Sampailah satu soalan, dia tanya tentang family, dia tanya aku tak boleh kongsi dengan isteri aku ke? Dengan parents macam mana","['sampai', 'satu', 'soal', 'dia', 'tanya', 'tentang', 'keluarga', 'dia', 'tanya', 'aku', 'tidak', 'boleh', 'kongsi', 'deng', 'isteri', 'aku', 'ke', 'deng', 'parents', 'macam', 'mana']",non-deppressive
 SH*t,['sht'],non-deppressive
 Masa ni aku nangis,"['masa', 'ini', 'aku', 'menang']",symptom
 Sebak,['sebak'],symptom
 Tetiba,['tetiba'],non-deppressive
 Aku tak tahu kenapa,"['aku', 'tidak', 'tahu', 'kenapa']",symptom
 Depan doktor tu,"['dep', 'doktor', 'itu']",non-deppressive
 Aku dah bertahun-tahun kot tak menangis macam tu,"['aku', 'dah', 'tahun', 'tahun', 'mungkin', 'tidak', 'menang', 'macam', 'itu']",symptom
 Anak aku sakit dulu pun aku tak nangis macam tu,"['anak', 'aku', 'sakit', 'dahulu', 'pun', 'aku', 'tidak', 'menang', 'macam', 'itu']",symptom
Last2 doktor set aku untuk terapi pemulihan carakerja,"['last', 'doktor', 'tetap', 'aku', 'untuk', 'terapi', 'pulih', 'cara', 'kerja']",medical history
 Memang terapi yang aku nak,"['memang', 'terapi', 'yang', 'aku', 'nak']",medical history
 Bukan nak bantai ubat terus,"['bu', 'nak', 'banta', 'ubat', 'terus']",medical history
"Aku yang sepatutnya dah ok sikit, pasal insiden hari ini, dengan doktor tu, aku dah rasa macam haritu balik","['aku', 'yang', 'patut', 'dah', 'okey', 'sikit', 'pasal', 'insiden', 'hari', 'ini', 'deng', 'doktor', 'itu', 'aku', 'dah', 'rasa', 'macam', 'hari', 'itu', 'balik']",symptom
Rasa nak mati je…,"['rasa', 'nak', 'mati', 'sahaja', 'angan']",symptom
– AkuHantar confession anda di sini -> www,"['angan', 'akuhantar', 'pengi', 'anda', 'di', 'sini', 'w']",non-deppressive
iiumc,['iium'],non-deppressive
com/submit,"['com', 'muka']",non-deppressive
Aku terpanggil untuk tulis pengalaman aku lepas baca confession bertarikh 28/9/2018 bertajuk “doktor dan kemurungan” (https://iiumc,"['aku', 'panggil', 'untuk', 'tulis', 'alam', 'aku', 'lepas', 'baca', 'pengi', 'tarikh', 'tajuk', 'doktor', 'dan', 'murung', 'htps', 'iium']",non-deppressive
com/doktor-dan-kemurungan/),"['com', 'doktor', 'dan', 'murung']",non-deppressive
 Moga kisah aku sedikit sebanyak dapat membantu insan-insan yang sedang cuba menyelesaikan isu kesihatan mental mereka,"['moga', 'kisah', 'aku', 'sedikit', 'banyak', 'dapat', 'bantu', 'ins', 'ins', 'yang', 'sedang', 'cuba', 'selesai', 'isu', 'kesihat', 'mental', 'mereka']",non-deppressive
"Aku rasa aku melalui fasa depression yang teruk sebanyak tiga kali, cuma kali ketiga baru dapat diagnosis rasmi dan rawatan yang betul","['aku', 'rasa', 'aku', 'lalu', 'fasa', 'murung', 'yang', 'teruk', 'banyak', 'tiga', 'kali', 'cuma', 'kali', 'tiga', 'baru', 'dapat', 'diagnosis', 'rasmi', 'dan', 'rawat', 'yang', 'betul']",medical history
Kali pertama adalah 5 tahun lepas,"['kali', 'pertama', 'ada', 'lima', 'tahun', 'lepas']",medical history
 Masa ni aka sangat tak boleh function,"['masa', 'ini', 'aka', 'sangat', 'tidak', 'boleh', 'fungsi']",symptom
 Bilik aku sentiasa bersepah macam kena ribut taufan,"['bilik', 'aku', 'sentiasa', 'sepah', 'macam', 'kena', 'ribut', 'tauf']",symptom
 Bahagian rumah lain aku kemas je sebab mak aku suruh,"['bahagi', 'rumah', 'lain', 'aku', 'kemas', 'sahaja', 'sebab', 'mak', 'aku', 'suruh']",non-deppressive
 Tapi bilik aku macam tongkang pecah,"['tetapi', 'bilik', 'aku', 'macam', 'tongkang', 'pecah']",symptom
 Tidur aku haru biru,"['tidur', 'aku', 'harus', 'biru']",symptom
