,Text
386,Aku tak tahu nak cerita penyakit aku dekat orang sebab kalau aku cerita pon mereka tak akan faham
387, Mesti mereka akan judge aku yang aku ni lemah iman sedangkan aku dulu dekat universiti subuh dekat surau
388, Solat lima waktu
389,Apa pon doakan aku dipermudahkan urusan nak sambung belajar balik dalam bulan 9 tahun ni
390, Cuma sekarang aku buntu nak buat apa kat rumah lama²
391, Bosan teruk dengan takda kawan
392, Itu saja cerita aku
393, Terima kasih
394,– Fezzul  (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc
395, com/submit
396,"Hari ini, aku dapat tahu sendiri kenapa orang murung tak dapatkan pertolongan"
397,Aku pergi klinik kesihatan hari ni
398," Dalam dua minggu lepas, perasaan yang dah lama aku tak rasa datang balik"
399, Dulu masa aku belajar dan masa aku bujang selalu la perasaan tu datang
400,Seingat aku ini kali pertama datang perasaan yang sama macam dulu sejak aku kahwin
401, Pencetusnya? Aku pun tak tahu
402,"Dalam dua minggu lepas, aku memang rasa down sangat"
403, Tanpa sebab
404, Rasa sedih
405, Rasa malas bangun tidur
406, Aku bangun untuk solat subuh je
407, Itu pun kadang2 aku burn subuh
408," Lepas subuh, aku tidur balik"
409, Takde semangat langsung nak bangun
410," Oh, aku kerja ikut suka aku"
411, Kerja bebas
412,Aku rasa sedih tak tentu pasal
413, Takde sebab
414, Rasa useless
415, Rasa macam dulu la masa belajar
416, Masa bujang
417, Masa aku duduk sorang2
418, Tapi ini kali pertama jadi lepas kahwin
419, Otak aku asyik fikir kalau mati lagi best
420, Aku dah prepare dah untuk isteri dan anak aku duit
421," Tak banyak, tapi ada la"
422," Tapi fikir je, takde la sampai aku nak campak nyawa aku sendiri"
423," Cuma macam bayangkan, death by proxy"
424, Mati sebab accident ke
425, Aku ada la iman lagi
426, Aku tahu la dosa pahala
427,"Satu malam dalam dua minggu lepas tu, aku scroll FB, search tentang depression"
428," Jumpa la satu page ni, Malaysia Suicide Alert (MESRA)"
429, Aku try la pm
430, tak berbalas sampai sekarang
431, Aku cuba la call Befrienders
432, Tak dapat
433, Tapi aku faham la sebab dah tengah malam
434," Serius aku cakap, memang waktu tu aku serabut"
435, Aku rasa berat sangat nak buat benda yang aku selalu buat
436, Aku rasa nak tidur je
437, Aku monyok je
438, Keluar dengan family pun rasa tak happy
439, Aku sedih je
440,Aku jumpa satu link
441, Questionnaire
442, Saringan Kesihatan Mental
443, Aku cuba la jawab
444," Dapat keputusan dalam email, dia suruh aku pergi ke Klinik Kesihatan"
445," Esoknya aku pergi, aku tunjuk kat kaunter klinik kesihatan, diorang pun blur"
446, Tapi diorang suruh aku daftar dulu
447," Aku daftar, Aku tunggu lama"
448, Pastu aku balik sebelum sempat diorang panggil aku
449," Aku fikir, takpe la, aku setel sendiri……I got better a few days later"
450, Ada beberapa benda yang aku buat menjadi
451, Aku semangat balik
452, Aku ok balik
453, Tapi perasaan tu masih ada la
454," Aku start balik bangun awal pagi, ulang balik rutin dulu"
455," Pastu hari ini, aku buat keputusan untuk pergi klinik kesihatan lagi sebab aku ada gatal-gatal tanpa ruam yang miang sesangat"
456," Pergi klinik kali ni, aku tunggu"
457, Tunggu sampai dipanggil masuk bilik doktor
458,"Jumpa doktor, aku cerita pasal gatal-gatal"
459, Dan biasalah doktor klinik kerajaan
460, Beban kerja terlalu banyak
461, Memang cuba secepat mungkin untuk selesaikan patient
462, Aku cuba cakap tentang ujian saringan depression yang aku ada ambil
463,"Waktu ini, nampak gaya macam ada sinis sikit"
464, Macam mana nak cakap ye? Macam gaya nak kata kita ni mengada-ada
465," Mungkin aku sangka buruk, tapi aku orang sales, aku boleh baca sikit2 gaya orang ni"
466," But don’t get me wrong, the doctor was still professional"
467," Dia suruh aku ambil satu borang kat luar, suruh aku isi borang tu"
468, Borang DASS namanya
469,Borang mengandungi soalan2 yang lebih kurang sama macam soalan saringan depression hari tu
470, Aku jawab la ikut arahan
471," Arahannya, berdasarkan apa yang kita rasa dalam seminggu yang lepas"
472, Aku masih rasa
473, Cuma dah kurang
474,"Aku bawa balik masuk borang tu, Keputusan memang lebih kurang dengan saringan"
475,"  Kemurungan – Sangat TerukAnzieti – SederhanaStres – Sangat TerukOk, jumpa doktor balik"
476, Kesinisan bermula sekali lagi
477, Doktor tanya soalan untuk pastikan sama ada aku faham soalan yang ditanya dalam borang
478, Aku jawab
479," Ada cara doktor tu balas, itu biasa la"
480, Saya pun rasa macam tu
481,Cara doktor tanya macam menekan
482, Macam aku ni sungguh mengada-ada
483," Ada satu part, aku beritahu tentang suicidal thoughts aku"
484," Dia kata, “Tapi takde la nak buat apa-apa kan?” Dan dia juga ada cakap, “Tak bolehlah macam tu, bila terlintas, fikir anak isteri”"
485, Aku pergi jumpa doktor sebab aku fikir anak isteri la
486, Aku nak baik
487,"Sampailah satu soalan, dia tanya tentang family, dia tanya aku tak boleh kongsi dengan isteri aku ke? Dengan parents macam mana"
488, SH*t
489, Masa ni aku nangis
490, Sebak
491, Tetiba
492, Aku tak tahu kenapa
493, Depan doktor tu
494, Aku dah bertahun-tahun kot tak menangis macam tu
495, Anak aku sakit dulu pun aku tak nangis macam tu
496,Last2 doktor set aku untuk terapi pemulihan carakerja
497, Memang terapi yang aku nak
498, Bukan nak bantai ubat terus
499,"Aku yang sepatutnya dah ok sikit, pasal insiden hari ini, dengan doktor tu, aku dah rasa macam haritu balik"
500,Rasa nak mati je…
501,– AkuHantar confession anda di sini -> www
502,iiumc
503,com/submit
504,Aku terpanggil untuk tulis pengalaman aku lepas baca confession bertarikh 28/9/2018 bertajuk “doktor dan kemurungan” (https://iiumc
505,com/doktor-dan-kemurungan/)
506, Moga kisah aku sedikit sebanyak dapat membantu insan-insan yang sedang cuba menyelesaikan isu kesihatan mental mereka
507,"Aku rasa aku melalui fasa depression yang teruk sebanyak tiga kali, cuma kali ketiga baru dapat diagnosis rasmi dan rawatan yang betul"
508,Kali pertama adalah 5 tahun lepas
509, Masa ni aka sangat tak boleh function
510, Bilik aku sentiasa bersepah macam kena ribut taufan
511, Bahagian rumah lain aku kemas je sebab mak aku suruh
512, Tapi bilik aku macam tongkang pecah
513, Tidur aku haru biru
514, Hidup aku tak ada arah tuju dan banyak jugaklah benda merepek aku buat masa ni antaranya lari daripada rumah
515, Ade lagi yang lagi merepek tapu tak perlu pun confess
516," Senang cerita, aku memang tak ok"
517,"Time nilah aku mula hafal al-Quran, seperti kebanyakan netizen muslim aku pun ingat aku ni lemah iman je kot"
518, So aku fikir cara terbaik untuk aku mantapkan iman aku adalah dengan hafaz al-Quran serta jaga tahajjud
519,"Aku mula rasa hafaz al-Quran tu sangat menenangkan dan best, semakin dekat aku dengan al-Quran semakin aku jauh daripada derita aku"
520," Dan bila kau menghafaz Kalamullah ni, kau kena tumpu 100% fikiran kau pada ayat al-Quran, well at least bagi aku lah cara aku menghafal macam tu"
521,Tapi aku jadi macam robot
522, 24 jam aku dengan al-Quran
523, Aku sentiasa menyendiri dengan al-Quran
524, Dengan family aku makin jauh
525, Diorg borak aku sumbat telinga dengan earphone dengar al-Quran
526, End up aku hafal 6 juzu dalam masa 4 bulan (aku duk rumah time ni)
527, Dan hafazan ni adalah hafazan aku yang paling kuat sampai sekarang
528," Time ni juga setiap hari aku menangis, tapi aku happy sebab aku dah boleh function balik lepas mula menghafaz"
529, Tahun seterusnya aku ambil keputusan untuk hafaz al-Quran 30 juzu sebab bagi aku al-Quran penawar aku
530," Aku fikir, mesti aku takkan lagi lalui fasa yang menyakitkan tu kalau aku jadi hafizah"
531, Ternyata aku salah
532,Alhamdulillah aku diterima masuk sebuah institusi yang membolehkan aku hafaz 30 Juzu al-Quran
533, Tahun pertama ok je
534, Masuk tahun 2 aku mula rasa balik macam aku rasa dulu
535, Di mana waktu tu aku pun tak tahu tu kemurungan ke apekebenda
536, Malam aku xleh tidur
537, Aku termenung je tengok silinh
538," Dok fikir macam-macam, antaranya cara nak bunuh diri"
539, Aku dah tak rasa nak hidup
540, Kelas jangan cakap lah
541, Aku rasa 40% kelas aku tak masuk
542, Aku buat apa? Aku termenung je time aku tak masuk kelas
543, Tak termenung aku tertidur
544, Terbangun daripada tidur aku termenung
545, Ingat best? Tak best langung
546, Orang yang lalui je faham peritnya
547, Aku pemalas? Sila cuba dan fahami tentang depresi
548,Aku dah tak ada perasaan langsung
549, Masa tu aku masih dok hafaz al-Quran
550, Tapi aku menghafaz ikut sukatan je lah
551, Aku dah tak semangat macam mula-mula
552," Bila kau dah biasa menghafal pulak, memang kejap je nak hafal satu mukasurat tu"
553, 15-20 minit dah boleh ingat satu mukasurat
554, So biasanya aku sebelum nak tasmik baru aku tengok dan hafal
555,Last-last aku dah rasa penat sangat dengan diri sendiri aku nekad pergi klinik psikiatri
556, Masa tu aju dah nak habis belajar dah
557, Lagi dua tiga bulan macam tu
558, Lebih kurang setahun lebih jugak lah aku menderita
559,Ni lah first time aku jumpa dokto untuk isu kesihatan mental aku
560, Dan pengalaman pertama aku tak best
561," Sebelum aku pergi klinik ni, aku dah cerita masalah aku dengan kawan, dengan ustaz, dengan ustazah, dengan kaunselor tapi mereka hanya mampu terkedu dan suruh aku bertabah"
562, So aku pergi jelah klinik psikiatri sebab aku tahu aku perlukan bantuan
563, Malangnya pengalaman kali pertama ni x berapa best
564,Doktor ni perlekehkan aku masa aku nak explain apa yang aku fikirkan
565, Aku cakap “I think of patterns…” belum sempat aku habiskan ayat ni doktor ni potong cakap aku dan dengan penuh kekerekkan beliau berkata “are you trying to diagnose yourself? I do the diagnosis here ok” dan dia pun diagnose aku dengan poor sleep hygiene dan aku hanya stress dan bukan depressed
566, Aku ikut segala nasihat dan saranan doktor ni tapi aku jadi lagi teruk
567,"Alhamdulillah Allah bagi aku otak yang agak cepat pickup jadi walaupun aku miss2 kelas dan x baca buku langsung, Allah rezekikan aku untuk berjaya habiskan belajar dan tamatkan hafazan 30 juzu"
568, Walaupun aku sampai sekarang rasa bersalah dengan pengajar2 aku sebab seolah aku tak hormat diorang
569, Dan aku juga rasa aku belum betul-betul hafaz al-Quran walaupun secara rasminya aku diiktiraf sebagai penghafaz al-Quran
570,"Fast forward kepada tahun ni, aku lalui episod ketiga"
571, Dan kalau ikutkan aku dah malas nak jumpa doktor
572," Kalau kau ikut kata orang sebab iman lemah, aku dah siap hafal satu Quran lagi sebab nak pulihkan diri aku"
573, Kau rasa? Aku rasa aku dah cuba segala-galanya tapi aku tetap miserable dan rasa tak nak hidup
574,Last2 aku pergi juga ke klinik psikiatri
575, Sekarang aku dah masuk 5 bulan makan antidepressant pagi dan malam
576, 6 atau 7 kali sesi psikoterapi dengan doktor aku yang sangat2 baik
577, Aku di diagnose dengan OCD dan depression
578, Sebab apa? Tu tak perlu tahu kot
579, Panjang sangat ceritanya
580,  Point aku kat sini ada dua
581,1
582," Bagi yang sedang mengalami masalah yang kau rasa ada kaitan dengan kesihatan mental kau aku doakan kau tabah dan tetap teruskan untuk dapatkan rawatan, stick dengan rawatan, kalau dapat ubat kau makan, doktor suruh buat apa kau buat, doktor suruh tinggal apa kau tinggal"
583," Doktor kau kerek, kaunselor kau tak dengar, kau cari lagi dan lagi dan lagi sampailah kau jumpa orang yang boleh bantu kau atasi masalah kau"
584, Doktor pun manusia jugak
585, Mungkin nasib kau kurang baik dia bad mood masa hari kau jumpa dia
586, Yang penting kau terus dan terus dan terus doa dan ikhtiar supaya kau ok dan boleh function balik
587, Kesihatan mental SANGAT penting ok
588,2
589, Kau sakit tak semestinya Iman kau lemah tapi tak semestinya juga Iman kau ok
590, Hakikat Iman tu memang naik dan turun ini memang ulama bersepakat tentang hakikat ini
591, Kau sakit ke sihat ke iman kau memang turun naik
592," Dan kau sakit ke sihat ke kau sentiasa kena usaha perbaiki iman kau, perbaiki ibadah kau"
593," Ada kaitan tak dengan kesihatan mental? Bagi aku secara generalnya tidak, tapi dari segenap sudut ada kena mengena juga"
594,"Maksud aku, stigma yang depression yang PUNCA UTAMA adalah kelemahan iman tu bagi aku salah"
595, Iman ni Allah je yang tahu kat mana levelnya
596," Aku tak nafi, boleh jadi lemahnya iman tu ANTARA PUNCA kau kemurungan"
597," So disebabkan mustahil untuk buktikan kelemahan iman ni punca kemurungan, sebab tu kalau kau cuba ambil langkah-langkah untuk kuatkan iman pun kau still murung"
598," Macam aku dulu la, hari-hari baca al-Quran, solat cukup, orang sekeliling pun semua dok mengaji je tapi last2 kemurungan datang balik jugak"
599," Tapi aku tak nafikan, yang aku hafaz al-Quran ni sangat membantu aku"
600, Ayat-ayat Allah ni macam pelampung yang aku berpaut dalam ombak dan badai kemurungan yang hampir menenggelamkan aku
601,"Kesimpulannya, bila kemurungan tu lau ikhtiar dapatkan rawatan perubatan dalam masa yang sama hubungan dengan Allah pun kau cuba improve"
602, Dan pandangan negatif termasuklah doktor atau kakitangan kesihatan yang tak memahami kau tolak tepi walaupun kau rasa sakit hati dan takde sape paham kau
603, Jangan biarkan pengalaman tak best menghalang kau daripada teruskan rawatan
604,"Dan start je kau dapat diagnosis, time tu akan jadi lagi susah, aku mula aku amek ubat pun ade yg x kena, nak aplikasikan nasihat doktor daripada psikoterapi pun sakit, kau kena lawan diri kau"
605, It does not get easier but eventually it will
606,Keep moving
607, Keep trying
608, Teruskan bernafas walau kau rasa tak mau
609, Teruskan bernafas sampai kau betul-betul rasa nak hidup
610,"Alhamdulillah sekarang aku dah sangat banyak improvement, asbab rawatan doktor aku dan sokongan orang-orang terdekat aku"
611, Semoga Allah rahmati mereka dan semoga lebih ramai doktor yang baik macam doktor aku
612, Kau takkan tahu betapa nikmatnya perasaan nak hidup bila kau pernah lalui fasa taknak hidup
613,Last aku nak share
614, Sentiasa amalkan doa ni :اللّهم إني أعوذبك من الهَمِّ و الحزنAda sambungan dia lagi korang carik lah sendiri eh
615," Hammi tu maksud die anxiety, hazan to sadness aka depression"
616,P/s : aku pergi klinik kerajaan pada kedua-dua fasa yang berbeza tersebut
617,– FibonacciHantar confession anda di sini -> www
618,iiumc
619,com/submit
620,Assalamualaikum dan salam sejahtera kepada pembaca IIUM Confessions dan para admins
621," Terlebih dahulu, saya berterima kasih kepada pihak admins jika coretan ini diterbitkan"
622," Walaupun tidak diterbitkan, terima kasih kerana sudi membaca"
623,Saya mulakan dengan pengenalan diri saya
624," Nama saya Tia, anak sulung daripada tiga beradik"
625," Sebagai anak sulung, saya sedar jika sesuatu berlaku kepada ibu bapa saya, secara automatik tanggungjawab keluarga dipikul oleh saya"
626," Sebenarnya, saya merasakan bahawa saya mengalami kemurungan"
627," Ya, saya pasti ramai pembaca akan menyuruh saya untuk berjumpa dengan doktor untuk kepastian"
628, Ada beberapa sebab yang menyebabkan saya untuk tidak pergi berjumpa dengan doktor
629,Kisah saya bermula sewaktu saya sekolah rendah
630," Seorang pelajar yang pintar dan disayangi guru, kehidupan saya dipenuhi dengan momen ceria"
631," Namun, semua itu berubah apabila saya mengalami epilepsi atau lebih dikenali sebagai sawan"
632, Penyakit ini secara tidak langsung telah mengubah kehidupan saya
633, Penyakit saya dibicara oleh para guru tanpa segan-silu malah ada pelajar mendengarnya
634," Saya diejek dengan perkataan “sawan babi”, “wayar putus” dan beberapa perkataan yang sudah saya lupakan"
635," Sampai satu ketika, saya pernah menangis kerana diejek sebegitu"
636, Faktor ejekan tersebut mendorong saya untuk membuat keputusan memasuki sekolah menengah di mana tiada langsung pelajar sekolah rendah yang sama dengan saya
637,"Alam sekolah menengah, saya menyembunyikan penyakit saya dan Alhamdulillah, saya tidak diserang sawan sehingga Tingkatan 3"
638," Ketika itu, ayah saya bertugas di luar negara"
639, Hanya ibu yang mengurus keluarga
640," Sewaktu penyakit ini menyerang, saya melihat betapa lemahnya seorang ibu"
641," Dia yang tak pernah tunjuk penatnya, menangis melihat saya diserang sawan"
642, Malah ayah saya turut dihubungi dan diminta pulang dengan kadar segera
643," Pada ketika itu, saya tidak merasakan apa-apa"
644, Tumpuan saya hanya pada PMR
645, Saya lulus dengan cemerlang and juga bersyukur kerana rakan-rakan serta para guru langsung tidak pernah menyebut soal penyakit saya
646," Namun begitu, kami sekeluarga terpaksa berpindah atas tuntutan kerja ayah"
647,"Di sini, bermula episod kemurungan saya"
648, Saya yang berasal daripada sekolah perempuan sahaja memasuki sekolah di mana pelajarnya bercampur lelaki dan perempuan
649, Membawa nama sekolah perempuan saya pada ketika itu telah menyebabkan saya dipulau tanpa ditanya apa-apa
650, Saya hanya berkawan dengan rakan-rakan cina
651," Pada ketika ini, saya merasakan kehidupan saya sunyi dan saya memberontak secara diam terhadap ibu bapa saya"
652, Pelajaran saya mulai merosot dan kedatangan saya ke sekolah diselangi dengan ponteng di bawah pengawasan ibu saya
653, Saya menjadi seorang yang lebih gemar bersendirian dan mula mencipta rakan imaginasi
654, Sehingga sekarang ibu bapa saya tidak tahu soal rakan imaginasi saya
655, Kejadian pulau itu tidak berlarutan lama
656," Setelah saya menjelaskan nama sekolah lama dan berbuat baik, ada yang sudi berkawan dengan saya"
657," Namun begitu, saya tidak meletakkan sepenuh kepercayaan terhadap mereka"
658," Malah, pada waktu itu saya tidak mempercayai sesiapa kecuali diri saya"
659,"Tamat persekolahan, saya banyak menghabiskan masa di sosial media"
660, Medium ini menjadi tempat saya meluahkan perasaan malah rakan maya saya banyak membantu saya
661, Saya meneruskan pengajian ke sebuah universiti dan di sana saya mula mempercayai rakan sekelas saya
662," Ibarat kaca yang telah dicantum berderai semula, begitu juga kepercayaan saya"
663, Saya ditinggalkan oleh rakan sekelas saya malah dipulau secara tidak langsung oleh mereka
664," Bahkan, para pensyarah dapat melihat apa yang dilakukan oleh mereka terhadap saya"
665, Saya mula bergerak secara solo dan perangai ini saya bawa ke pengajian ijazah
666," Sewaktu pengajian ijazah, saya bertemu dengan rakan-rakan yang sekarang ini saya anggap keluarga kedua saya"
667,"  Soal percaya, ya saya masih tidak mampu mempercayai manusia sepenuhnya"
668," Bahkan, diri saya sendiri saya tak mampu untuk percaya"
669, Saya mengalami kemurungan kali ketiga sewaktu tahun ketiga pengajian ijazah
670, Saya kehilangan seorang rakan baik dan pada waktu yang sama saya mengetahui bahawa orang yang saya menaruh harapan hanyalah mempermainkan saya
671, Kehilangan rakan baik ditambah pula kesibukan membuat tesis telah mejadikan saya terlampau stres
672," Apabila stres saya memuncak, saya mula memikirkan tentang kesedihan saya dan tidak melakukan sebarang kerja"
673, Hanya tidur dan menyelubungi diri saya dengan selimut
674, Air mata gugur berkali-kali
675, Tiada siapa pun tahu
676," Malah sehingga sekarang, apabila kemurungan melanda, saya hanya mampu menangis dalam senyap tanpa pengetahuan sesiapa"
677,Saya tidak pasti berapa ramai lagi pembaca yang sedang membaca kisah saya
678, Berbalik kepada soalan mengapa saya tidak berjumpa dengan doktor untuk kepastian
679, Saya yang mempunyai tahap keyakinan diri yang lemah
680, Ibu saya menyedari hal ini dan sering membezakan saya dengan adik saya
681, Hal ini telah mengakibatkan diri saya berada dalam keadaan stres
682," Selain itu, saya merupakan seorang yang pendiam dan hanya berbicara jika perlu"
683," Berat mulut, itulah ungkapan ibu saya kepada saya"
684," Ya, saya mampu untuk pergi ke hospital sendiri"
685," Namun, kehidupan saya sentiasa dibayangi ibu bapa saya"
686, Tidak kah mereka pelik untuk apa saya pergi ke klinik atau hospital sedangkan saya sihat? Malah setiap pergerakan keluar masuk rumah saya pasti ditemani oleh ibu bapa saya
687, Memberitahu soal kemurungan kepada ibu bapa? Kepercayaan saya terhadap mereka belum pulih sepenuhnya
688, Saya juga masih ingat sesi di hospital di mana ayah saya berpura-pura menghidap sawan sedangkan saya yang sakit
689," Wajarkah saya untuk membebani hati serta kepala mereka dengan kemurungan saya?Jika dahulu, saya hanya menangis"
690," Tapi kini, saya membayangkan pisau dan saya pasti anda memahami apa yang saya bayangkan"
691, Saya sedar kemurungan saya semakin teruk dan saya perlu bantuan segera
692, Saya berharap agar saya cepat mendapatkan pekerjaan dan keluar daripada rumah
693," Dengan cara ini, saya dapat pergi mendapatkan bantuan tanpa pengetahuan ibu bapa"
694,Saya berharap sangat para pembaca dapat membantu saya secara tidak langsung
695, Berhati-hati dengan komen anda kerana bisa kata-kata boleh menjatuhkan seseorang
696,– TiaHantar confession anda di sini -> www
697,iiumc
698,com/submit
699,Kemurungan dan Rasa Cemas yang tak dapat Di kawal
700, Pengakuan diri sendiri harap dapat membantu sesiapa yg pernah dan tengah alami di luar sana
701, Ini berlaku setelah aku bertukar tempat kerja yg nyata pada awalnya dapat di urus dengan baik tetapi setelah 3 bulan di tukar ke assignment yang lebih susah
702, Assignment baru ini telah menyebabkan ramai rakan rakan kerja sejawatan dan rakan rakan lain telah ambil keputusan untuk berhenti dan menukar kerja ke jabatan lain ataupun ke syarikat lain
703, benda nie berlaku di syarikat international-kilang electronics
704, Bagi aku 
705,
706, aku suka dengan challenge dan aku sahut cabaran dari boss aku 
707,
708, yg mana boss aku nie aku katergorykan old style dan lembab dalam buat keputusan 
709,
710, bayankan satu isu meeting untuk finalize boleh ambil masa sampai 4 jam 
711,
712, kadang kadang stress bukan sebab kerja tapi sebab terlampau banyak menunggu keputusan dari boss
713, diri terkesan apabila kesibukkan melampau sehingga banyak kerja yang tertangguh di sertai dengan di herdik dan di marah oleh orang atasan di sebabkan KPI tidak seperti yang di hendaki
714, Badan akan rasa panas sejuk tetapi bukan demam
715,
716, banyak masalah yang di fikirkan dan setiap masalah kita nak selesaikan dengan yang terbaik
717, bermula kisah setelah 2 bulan di dalam project/ assigment baru … kesibukkan dia sampai hanya sempat ambil lunch sahaja 
718,
719, dan waktu solat sentiasa delay… kadang kadang siap kena qoda’ sebab berada dalam meeting
720, kemuncak Depression and Anxiety Disorders ini apabila perasaan nak bunuh diri datang … di sebabkan give up yang teramat sangat 
721,
722, aku alami benda nie setelah 5 bulan dalam keadaan Depression and Anxiety Disorders Selain seram sejuk diri rasa macam kecil sekecil nya dan rasa rendah diri yang amat sangat sehingga untuk berjumpa jiran tetangga pun boleh nak pitam … dengan kenalan lain lagi laa
723,
724, pernah pitam 2 kali semasa solat berjemaah
725, sebab rasa rendah diri dan tidak cukup tidur
726, Langkah paling selamat untuk elakkan dari buat benda paling bodoh adalah : 1- banyakkan diri berada di surau dan masjid 
727,
728,mengaji quran dan dengan kuliah …ini aku hanya sedar setelah hampir sembuh di mana setelah 7 bulan menderita
729, 2- jangan bersendirian
730, kalau rasa rendah diri kena berada dalam jemaah yang ramai 
731,
732, seperti di masjid atau pasaraya 
733,
734, (Pernah stay kat surau hotel tingkat 14 sorang diri dan plan nak terjun ikut tingkap – astaghfirullah)sila jauhkan dan jangan buat
735, 3- pernah berada dalam kereta dan ambil tali pinggan kaledar jerut leher
736,
737, nasib masih hidup 
738,
739, Alhamdulillah- jangan terpenung walaupun dalam kereta…
740, 4- Aku berhenti kerja dan dapatkan kerja di tempat yang lebih senang/mudah
741, dengan kommitment yang tinggi
742, aku redah dan nekad 
743,
744, Alhamdulillah 
745,
746, Allah penentu segalanya 
747,
748, untuk kurang stress
749, jangan terus kalau diri dah rasa give up
750, 5- solat sunat dan qada solat lepas banyak banyak kalau tak boleh tido 
751,
752, mengaji 
753,
754, insyaAllah akan sampai masa mata akan tertidur dek syaitan ni rojim yang tak suka kita buat kebaikan 
755, 6- perlu ada rakan bercerita atau paling tak untuk makan sekali 
756,
757, 7- berserah pada Allah untuk jalan penyelesain dan follow the flow sampai sembuh 
758,
759," baca quran , zikir dan berdoa sentiasa dan setiap masa "
760,Ingat Depression and Anxiety Disorders penyakit kategori amat bahaya 
761,
762, sihat tubuh badan tapi mental sengsara
763, Aku pernah ke klinik psikitiarik dan juga hospital pakar sakit jiwa ( 6 bulan lebih ulang alik untuk dapatkan rawatan ) mereka hanya banyak bagi nasihat dan ubat penenang
764, diri sendiri kena kuat untuk keluar 
765, Aku juga berusaha dengan rawatan islam 
766,
767, Alhamdulillah 
768,
769, rawatan di perak dapat beroleh perubahan dalam diri dan sampai sekarang Alhamdulillah penyakit x datang lagi dan aku tak nak ada penyakit tuh lagi
770, kepelbagaian rawatan dengan dalam hati jangan syirik/ sekutukan Allah 
771,
772, tanam dalam diri Allah penyembuh 
773, kita hanya berusaha … Untung ada isteri dan keluarga yang sentiasa beri sokongn dan dorongan 
774, alhamdulillah
775,
776, HARGAILAH ORANG DISEKELILING KITA KETIKA KITA SUSAH
777,  – DartHHantar confession anda di sini -> www
778,iiumc
779,com/submit
780,Terima kasih admin kerana sudi menyiarkan confession aku
781," Maaf kalau cerita ini panjang, tapi terima kasih pada sudi membaca"
782, Aku harap ada terbuka minda sedikit jika baca idea korang nanti
783,Ini sebenarnya kali pertama aku berani meluahkan walaupun dah berkali-kali cuba
784,"Ringkasnya, dari dulu aku memang seorang yang tidak berapa pandai jika dibandingkan dengan orang lain"
785, Aku lambat faham dan selalu rasa ketinggalan
786," Tapi berkat usaha dan doa, aku tunjukkan semangat yang aku nak sesuatu itu"
787, Contoh masa aku UPSR
788, Aku tak pernah dapat A pun apa apa subjek sehingga dipanggil bodoh oleh rakan sekelas
789," Tapi sekali lagi, aku nekad untuk dapatkan target tu"
790," Akhirnya, aku berjaya raih 5A dan rangkul anugerah pelajar berpontensi"
791,Tapi tu zaman UPSR
792," Aku perlu cerita ini, sebab saat itulah yang jadikan aku sebagai anak harapan kepada ibu bapa aku"
793, Aku mula ditaruh setinggi harapan setiap zaman sekolah sehingga sekarang
794,Sekali lagi aku nyatakan aku bukan seorang yang pandai
795, Tapi sentiasa fokus dalam kelas dan aku akan mengulangkaji ketika semua tidur
796, Perangai tu aku terbawa sehinggalah zaman Universiti
797,Aku jenis tak boleh nak study waktu ada orang
798, Rasa macam diperhatikan
799," Oleh itu, ramai yang menganggap aku semulajadinya seorang yang bijaksana"
800," Sebab hidup selalu happy je dan tak study, tapi result Alhamdulillah"
801,"Tapi biasalah setiap orang ada saat naik surutnya, jika aku perhatikan garis hidup aku sekarang"
802," Aku seorang graduan Prauniversiti (STPM), aku tak berniat nak ambil STPM langsung"
803, Tapi disebabkan result SPM yang mengecewakan
804, Aku hanya ada dua pilihan
805, STPM atau Politeknik
806," Aku pilih STPM atas desakan keluarga, dan aku berjaya jadi pelajar cemerlang STPM"
807, Top5 dalam tingkatan aku
808,"Memang membanggakan sehingga zaman Uni, aku menyambung pelajaran di Universiti awam"
809,Pada awalnya memang aku memang tunjukkan prestasi yang sangat bagus dan sentiasa bersemangat
810," Tapi pada tahun akhir ijazah aku, aku mulai jatuh"
811," Aku mula hilang fokus, aku tak dapat menyiapkan tugasan dalam masa yang diberikan"
812, Aku jadi hilang semangat dan seolah olah kemurungan
813,"Aku akan menangis seorang diri, dalam tidur bila mengenangkan prestasi yang tak cemerlang"
814, Dan aku sukar tidur pada waktu malam
815," Bila ditambah dengan tekanan dari keluarga, selalu menekan aku"
816, Aku jadi lagi tertekan
817,  Aku akan jadi iri bila lihat orang lain sudah berjaya dan aku terus keluar dari media sosial apabila terlihat post post kawan kawan yang berjaya
818,"Sehingga kini, aku masih terperangkap dalam diri sendiri bila masih lagi tak berjaya menyiapkan Final Year Project (FYP)"
819, Setelah satu sem aku extend
820,Aku bukan nak menunding jari tapi aku dapat rasa ini bukannya salah aku seorang
821, Pensyarah yang sepatutnya mengawasi aku pun tidak bertindak sepatutnya
822," Dia buat endah tak endah pada aku, dan bila aku bertanyakan soalan"
823, Dia akan memusingkan perkara tu seperti semuanya salah aku
824," Tapi tidak apa, sebab aku tetap salah"
825, Aku tidak letakkan kesungguhan sepenuhnya
826,"Disebabkan aku selalu rasa down, aku selalu memikirkan tentang bunuh diri"
827, Aku tak tahu betapa rapuhnya iman aku sampai terfikir nak berbuat demikian
828," Tapi sampai sekarang, aku masih tak lakukan sebab aku tak boleh siakan ibu bapa aku dan semua orang yang ada dengan aku"
