,Text
353,"Kau kena fikir sendiri, dia bagi kertas dan suruh senaraikan masalah dan cara tangani masalah kau."
354,Doktor nak ajar kau supaya kau ada self-esteem dan boleh buat keputusan.Rawatan kedua ialah ubat-ubatan.
355,Lepas dah jumpa doktor mesti dapat slip ubat kan?
356,"Haa itu ialah rawatan anti-depression kalau ada tanda kemurungan dan anti-anxiety kalau ada kegelisahan.Untuk pesakit yang ada simptom psychotic, ubat tambahan mereka ialah ubat anti-psychotic dan ada masalah untuk tidur pun doktor akan beri ubat penenang."
357,Ni yang dalam drama melayu selalu ada dialog “kau tak makan ubat kau eh?” Haa ubat tulah.Semua jenis ubat yang diberikan ialah untuk tambah/ubah hormon kau dalam otak.
358,"Kalau macam aku, aku kekurangan hormon serotonin yang menyebakan aku selalu sedih dan kemurungan.Ubat yang doktor endorse pun bukan ubat Over-The-Counter, ubat tu memerlukan sign dan cop doktor sebab semuanya ubat terkawal."
359,Maknanya kalau korang tak perlukan ubat memang dorang takkan beri.
360,Rawatan yang keempat ialah meditasi/mengenali Tuhan.
361,Aku pakai frasa Tuhan yang merujuk kepada semua agama.
362,Generally.
363,"Kalau boleh kau kena rajin-rajinkan solat lima waktu, baca al-quran, solat tahajud semua tu supaya dapat ketenangan kalau kau seorang yang beragama Islam.Kalau agama lain, boleh buat ikut kepercayaan masing-masing sebab aku percaya yang agama mengajar perkara yang baik-baik kepada penganutnya.Rawatan kelima ialah sokongan keluarga."
364,Bunyinya macam kejam kalau kau ada konflik dengan keluarga.
365,"Doktor psikiatri yang incharge kau akan panggil sesiapa yang tinggal serumah dengan kau, yang hari-hari kau jumpa kat tempat kerja/ sekolah/ IPT dan yang rapat dengan kau.Doktor akan sedaya-upaya untuk terangkan keadaan mental kau kepada mereka dan tanya macam mana perangai kau supaya apa yang kau cerita sama dengan apa yang family dan kawan rapat kau cerita.Kat sini doktor akan fahamkan betul-betul kepada family/ kawan rapat yang kau perlukan sokongan keluarga dari segi emosi dan kena pastikan pesakit kena hadir temujanji dengan doktor.Rawatan yang terakhir ialah DIRI KAU SENDIRI."
366,"Ya, kalau diri sendiri taknak keluar dari kemurungan."
367,Maka semua rawatan-rawatan yang aku mention takkan berkesan.Push diri sendiri untuk terima rawatan dan ubah apa yang patut supaya kemurungan kau tak jatuh lebih teruk.
368,"Belajar untuk cope bila ada masalah dan cari ketenangan bila rasa ‘lemas’ dalam kemurungan.Aku faham, perasaan sedih susah nak dikawal tapi cuba ikut apa petua,tips and trick dari doktor psikiatri kau untuk atasi perasaan tu.Oklah, sampai sini je aku nak beritahu tentang rawatan untuk depresi/ kemurungan."
369,"Maybe next time aku cerita benda lain yang related dengan mental health dan mental illnes.Selamat berpuasa.– Cik H (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc.com/submit Assalamualaikum, terima kasih admin kerana approve hantaran ini.Semalam terkejut sangat sebab jumpa post yang seakan-akan melabel pesakit depression sebagai kufur."
370,"Bukan itu sahaja, beliau malah menggunakan ayat Quran untuk justify pandangan tersebut.Siapa kita untuk menghukum orang lain?"
371,Kita bukanlah antara golongan yang dijamin syurga.
372,Tidak adil untuk pukul rata semua pesakit depression tu kufur.
373,Malah islam tidak mengajar kita untuk menhukum orang lain.Stigma sebegini sangat bahaya.
374,"Boleh menyebabkan pesakit kemurungan tidak mahu berkongsi rasa, malah ada yang mungkin tidak mendapatkan rawatan kerana risau dihukum sebagai “kufur”, “jauh dari Tuhan”, “lemah iman” dan sebagainya.Sedangkan depression tu merupakan satu penyakit dan boleh dirawat."
375,"Seperti penyakit-penyakit lain, depression juga disebabkan beberapa faktor seperti hormon, genetik, dan persekitaran."
376,Barah bukan disebabkan kufur kan?
377,"Haa macam tu jugak la depression.Mungkin lepas baca luahan ni, ada yang akan kata “betullah kalau dekat dengan Allah takkan depress”."
378,Tapi sebelum tu saya nak kata yang pandangan itu sangat salah.
379,"Dan merupakan stigma yang sangat berat.Haah, betul dengan mendekatkan diri dengan Allah, kita boleh tenang dan hilang tekanan, tetapi perlu ingat, depression ini penyakit."
380,"Dekatkan diri dengan Allah tu perlu, tetapi perlu juga mendapatkan rawatan pakar."
381,"Antara rawatan yang akan diberi adalah ubatan, terapi atau kedua-dua sekali bergantung pada keadaan pesakit.Tapi macam mana orang yang sedang depress nak mendapatkan rawatan jika sekali diluahkan perasaan, terus dicop lemah iman dan sebagainya."
382,Sedangkan kita dituntut untuk merujuk pakar dan berusaha dalam bertawakal.
383,Stigma sebegini la juga yang menjauhkan orang-orang dari orang alim.
384,Bukankah ini merugikan Islam tu sendiri?
385,"Pesakit depression perlukan harapan dan bantuan, bukan kecaman.Apa kesan stigma ini?Seperti yang dinyataan diatas, dan kesannya bukan sekadar menyebabkan pesakit tidak mendapatkan bantuan, malah kalau keadaan makin teruk boleh menyebabkan pesakit bunuh diri (nauzubillah).Jika pandangan-pandangan yang melabel pesakit depression ni tersebar, dan pesakit triggered, boleh membuatkan pesakit self-blame, adakah kita akan bertanggungjawab?"
386,"Self-blame, rasa diri tidak berguna, rasa diri tiada harapan juga boleh mengakibatkan pesakit bunuh diri.Penyakit depression ni semakin hari semakin merunsingkan."
387,"Selain rawatan doktor psikiatri atau psikologis, sokongan daripada individu sekeliling sangat lah penting."
388,"Antara gejala depression adalah merasa diri tidak berguna.Jadi kita sebagai anggota masyarakat perlu memberi harapan yang mereka sangat diperlukan, dan diri mereka bernilai."
389,Teruskan berdoa semoga kita tidak mendapat depression.
390,Dan dalam masa yang sama mendoakan sahabat kita yang sedang bertarung dengan depression dan lain-lain penyakit mental.– Zinnirah (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc.com/submit Assalamualaikum semua.
391,Nama aku Fezzul (bukan nama sebenar) umur aku dalam 22 tahun.
392,Aku nak cerita pengalaman aku apabila disahkan menghidap depresi dan kemurungan.Okay aku ni boleh dikatakan budak cerdik juga la sebab UPSR dan PMR aku straight A. Cuma SPM aku je dpt 6A tapi aku tetap bersyukur.
393,Then aku mohon la UPU untuk masuk universiti malangnya permohonan aku gagal.
394,Aku cuba buat rayuan dan keputusan still sama aku gagal.Aku kecewa dan sedih la jugak sebab kawan2 semua smbung belajar masuk universiti.
395,Okay takpa la aku teruskan belajar dgn ambik STPM di sekolah dan Alhamdulilah aku berjaya grad dgn CGPA 3.6 Aku berasa gembira sngat time tu.Nak jadikan cerita lepastu aku dapat tawaran masuk universiti awam yang top la jugak di Malaysia dalam kos pendidikan.
396,Aku gembira sngat.
397,Nak jadikan cerita sebulan aku stay di sana aku rasa stress sangat sebab aku pi kelas naik bas.
398,Nak naik bas pula kena tunggu dan keadaan dalam bas tu sentiasa penuh dengan orang.Aku pernah lewat kena marah dengan lecture sebab lambat datang kelas pada hari pertama sedangkan aku bukan tertidur ke sengaja datang lewat cuma bas tu dah penuh aku terpaksa tunggu bas lain datang pula la.
399,Dan universiti aku ni pula besar first time datang nak daftar dulu pon aku sesat tak jumpa jalan.Macam2 terjadi dekat aku dekat sana.
400,Dalam sebulan tu jgak wifi universiti tak boleh nak connect dengan laptop aku.
401,Aku stress.
402,Terpaksa pergi Pusat Teknologi maklumat jalan kaki jauh la jugak sebab nak settlekan masalah ni.2 kali aku pergi ulang alik jalan kaki penat tau sampai ja sana terus berpeluh.
403,Aku bukan tak nak naik bus cuma aku tak tahu sama ada bus tu berhenti ke tidak kat pusat teknologi tu.
404,Daripada sesat aku ambik keputusan jalan kaki.Dan apa yang malang lagi roomate aku pula jenis buat hal sendiri je.
405,Tak pernah nak ambil kisah pasal aku ni.
406,Aku nak survive kat sini pon susah sebab aku tak ada kawan dan aku pula bukan jenis cepat bergaul dengan orang.So memang susah la bagi aku nak survive kat universiti tambah pula dengan banyak esaimen dan grup wassap melibatkan universiti saja ada sampai 24 grup.
407,Mesej chat sentiasa masuk sampai aku rasa lemas.Semua ni buatkan aku stress overthinking dan sampai satu tahap aku tak boleh tidur malam.
408,Otak aku tak berhenti berfikir dan aku serabut fikir banyak masalah sampai satu tahap aku keluar seorang pergi mall sebab nak release stress dan di situlah timbul satu idea nak bunuh diri.
409,Time ni aku ada dekat mall tingkat atas dan aku dengar suara orang berbisik “best jugak kalau terjun ni”.Start dari situ aku dah tak boleh nak kawal diri aku.
410,Aku rasa otak aku ni dah lost sekejap.
411,Tapi aku tak layan perasaan macam tu.
412,Aku terus call parents kata depress rasa nak bunuh diri.
413,Aku menangis dan aku cerita kat parents aku macam2 jadi dekat universiti sampai aku depress sangat.Dan malam tu jugak aku ambik keputusan nak balik rumah.
414,Sebab aku memang rasa ada yang pelik dengan diri aku.
415,Aku tak macam aku yang selalu.
416,Aku pon tak tahu macam mana aku boleh depress sampai tahap macam tu sekali.
417,Aku bersyukur sebab akhirnya sampai juga rumah walaupon time tu otak aku dah tak betul.
418,Aku menangis teruk dan give up dengan life kat sana.Aku beritahu parents nak berhenti belajar.
419,Lepas je berhenti belajar aku kemurungan pula.
420,Aku tak dak selera nak makan.
421,Otak aku 24 jam fikir nak mati.
422,Aku kecewa dengan diri sendiri sebab tak boleh nak survive kat universiti sedangkan antara goals aku adalah nak masuk universiti.
423,Aku selalu rasa nak cederakan diri aku.
424,Aku meroyan teruk.
425,Dan aku tak boleh nak tidur malam.
426,Otak ni kalau tak dapat rest atau tidur secukupnya memang tak boleh nak fikir dengan waras.
427,Dan smpai 3 hari aku tak mandi.
428,Rasa betul2 hopeless.
429,Dan 3 bulan tu juga aku tak keluar rumah sebab takut dengan orang sekeliling.
430,Dunia aku jadi gelap.Dan parents aku tengok keadaan aku makin teruk parents bawa pi rawatan islam.
431,(Time ni aku dengan parents tak tahu lagi yang aku kena penyakit depression).
432,Merata pi berubat sampai ada ustaz seorang ni kata aku ada saka.
433,Tapi aku rasa aku tak ada gangguan makhluk halus pon sebenarnya.
434,Sampai la satu hari ada orang suggest dekat parents aku suruh bawa pergi hospital pakar psikatrik.First time jumpa doktor aku rasa takut sangat.
435,Aku tak boleh nak pandang dan bercakap dengan doktor sebab otak aku 24 jam overthinking.
436,Aku just tunduk ketakutan dan aku menangis non stop.
437,Keadaan aku time tu sangat la lemah dan penat sebab otak non stop berfikir je.
438,Dan aku juga susah nak fokus dan mudah lupa.
439,Aku juga mengalami lupa ingatan sementara.Doktor tu kata kat parents aku bawa balik dulu nanti jumpa lagi.
440,And doktor tu bagi aku ubat banyak gila nak kena makan.
441,Aku balik dan hari2 aku makan ubat.
442,Alhamdulilah aku dah boleh tidur malam dan aku boleh kawal emosi aku.2 bulan selepas tu aku semakin baik dan sembuh.
443,Aku jumpa doktor tu lagi dan time tu baru ada keyakinan nak bercakap dengan doktor.
444,Dan doktor sahkan aku menghidap depresi dan kemurungan.
445,Doktor kata antara salah satu punca dia adalah kurang tidur.
446,Doktor selalu ingatkan aku supaya tidur kena cukup.Dan sekarang aku masih lagi menerima rawatan 3 bulan sekali.
447,Kadang2 aku rasa sedih hidup tengok kawan2 berjaya dan pergi belajar sedangkan aku sekarang menganggur ja.
448,Aku sempat kerja sebagai cikgu ganti selama 2 bulan selepas saja aku sembuh dari penyakit ni tapi dah habis tempoh kontrak.
449,Parents aku ada juga suruh apply kerja tapi aku tak berminat nak kerja benda yang aku tak suka.Buat masa sekarang aku masih lagi menunggu panggilan kerja sebagai guru ganti sebab hati aku ni tak terbuka nak kerja benda lain.
450,Aku semakin baik cuma aku kadang2 ada juga la rasa murung tu.
451,Aku dah tak happy macam dulu lagi.
452,Aku tetap bersyukur walaupon aku rasa ujian aku ni berat sangat tapi aku masih bernyawa lagi.
453,Allah tetap bagi aku hidup lagi.Semua yang berlaku pasti ada hikmahnya.
454,Tapi kadang2 aku fikir juga kenapa Allah bagi aku ujian macam ni penyakit yang luar nampak normal tapi dalam tu merana sangat.Aku tak tahu nak cerita penyakit aku dekat orang sebab kalau aku cerita pon mereka tak akan faham.
455,Mesti mereka akan judge aku yang aku ni lemah iman sedangkan aku dulu dekat universiti subuh dekat surau.
456,Solat lima waktu.Apa pon doakan aku dipermudahkan urusan nak sambung belajar balik dalam bulan 9 tahun ni.
457,Cuma sekarang aku buntu nak buat apa kat rumah lama².
458,Bosan teruk dengan takda kawan.
459,Itu saja cerita aku.
460,Terima kasih.– Fezzul  (Bukan nama sebenar)Hantar confession anda di sini -> https://iiumc.
461,com/submit Aku terpanggil untuk tulis pengalaman aku lepas baca confession bertarikh 28/9/2018 bertajuk “doktor dan kemurungan” (https://iiumc.com/doktor-dan-kemurungan/).
462,"Moga kisah aku sedikit sebanyak dapat membantu insan-insan yang sedang cuba menyelesaikan isu kesihatan mental mereka.Aku rasa aku melalui fasa depression yang teruk sebanyak tiga kali, cuma kali ketiga baru dapat diagnosis rasmi dan rawatan yang betul.Kali pertama adalah 5 tahun lepas."
463,Masa ni aka sangat tak boleh function.
464,Bilik aku sentiasa bersepah macam kena ribut taufan.
465,Bahagian rumah lain aku kemas je sebab mak aku suruh.
466,Tapi bilik aku macam tongkang pecah.
467,Tidur aku haru biru.
468,Hidup aku tak ada arah tuju dan banyak jugaklah benda merepek aku buat masa ni antaranya lari daripada rumah.
469,Ade lagi yang lagi merepek tapu tak perlu pun confess.
470,"Senang cerita, aku memang tak ok.Time nilah aku mula hafal al-Quran, seperti kebanyakan netizen muslim aku pun ingat aku ni lemah iman je kot."
471,"So aku fikir cara terbaik untuk aku mantapkan iman aku adalah dengan hafaz al-Quran serta jaga tahajjud.Aku mula rasa hafaz al-Quran tu sangat menenangkan dan best, semakin dekat aku dengan al-Quran semakin aku jauh daripada derita aku."
472,"Dan bila kau menghafaz Kalamullah ni, kau kena tumpu 100% fikiran kau pada ayat al-Quran, well at least bagi aku lah cara aku menghafal macam tu.Tapi aku jadi macam robot."
473,24 jam aku dengan al-Quran.
474,Aku sentiasa menyendiri dengan al-Quran.
475,Dengan family aku makin jauh.
476,Diorg borak aku sumbat telinga dengan earphone dengar al-Quran.
477,End up aku hafal 6 juzu dalam masa 4 bulan (aku duk rumah time ni).
478,Dan hafazan ni adalah hafazan aku yang paling kuat sampai sekarang.
479,"Time ni juga setiap hari aku menangis, tapi aku happy sebab aku dah boleh function balik lepas mula menghafaz."
480,Tahun seterusnya aku ambil keputusan untuk hafaz al-Quran 30 juzu sebab bagi aku al-Quran penawar aku.
481,"Aku fikir, mesti aku takkan lagi lalui fasa yang menyakitkan tu kalau aku jadi hafizah."
482,Ternyata aku salah.Alhamdulillah aku diterima masuk sebuah institusi yang membolehkan aku hafaz 30 Juzu al-Quran.
483,Tahun pertama ok je.
484,Masuk tahun 2 aku mula rasa balik macam aku rasa dulu.
485,Di mana waktu tu aku pun tak tahu tu kemurungan ke apekebenda.
486,Malam aku xleh tidur.
487,Aku termenung je tengok silinh.
488,"Dok fikir macam-macam, antaranya cara nak bunuh diri."
489,Aku dah tak rasa nak hidup.
490,Kelas jangan cakap lah.
491,Aku rasa 40% kelas aku tak masuk.
492,Aku buat apa?
493,Aku termenung je time aku tak masuk kelas.
494,Tak termenung aku tertidur.
495,Terbangun daripada tidur aku termenung.
496,Ingat best?
497,Tak best langung.
498,Orang yang lalui je faham peritnya.
499,Aku pemalas?
500,Sila cuba dan fahami tentang depresi.Aku dah tak ada perasaan langsung.
501,Masa tu aku masih dok hafaz al-Quran.
502,Tapi aku menghafaz ikut sukatan je lah.
503,Aku dah tak semangat macam mula-mula.
504,"Bila kau dah biasa menghafal pulak, memang kejap je nak hafal satu mukasurat tu."
505,15-20 minit dah boleh ingat satu mukasurat.
506,So biasanya aku sebelum nak tasmik baru aku tengok dan hafal.Last-last aku dah rasa penat sangat dengan diri sendiri aku nekad pergi klinik psikiatri.
507,Masa tu aju dah nak habis belajar dah.
508,Lagi dua tiga bulan macam tu.
509,Lebih kurang setahun lebih jugak lah aku menderita.Ni lah first time aku jumpa dokto untuk isu kesihatan mental aku.
510,Dan pengalaman pertama aku tak best.
511,"Sebelum aku pergi klinik ni, aku dah cerita masalah aku dengan kawan, dengan ustaz, dengan ustazah, dengan kaunselor tapi mereka hanya mampu terkedu dan suruh aku bertabah."
512,So aku pergi jelah klinik psikiatri sebab aku tahu aku perlukan bantuan.
513,Malangnya pengalaman kali pertama ni x berapa best.Doktor ni perlekehkan aku masa aku nak explain apa yang aku fikirkan.
514,Aku cakap “I think of patterns…” belum sempat aku habiskan ayat ni doktor ni potong cakap aku dan dengan penuh kekerekkan beliau berkata “are you trying to diagnose yourself?
515,I do the diagnosis here ok” dan dia pun diagnose aku dengan poor sleep hygiene dan aku hanya stress dan bukan depressed.
516,"Aku ikut segala nasihat dan saranan doktor ni tapi aku jadi lagi teruk.Alhamdulillah Allah bagi aku otak yang agak cepat pickup jadi walaupun aku miss2 kelas dan x baca buku langsung, Allah rezekikan aku untuk berjaya habiskan belajar dan tamatkan hafazan 30 juzu."
517,Walaupun aku sampai sekarang rasa bersalah dengan pengajar2 aku sebab seolah aku tak hormat diorang.
518,"Dan aku juga rasa aku belum betul-betul hafaz al-Quran walaupun secara rasminya aku diiktiraf sebagai penghafaz al-Quran.Fast forward kepada tahun ni, aku lalui episod ketiga."
519,Dan kalau ikutkan aku dah malas nak jumpa doktor.
520,"Kalau kau ikut kata orang sebab iman lemah, aku dah siap hafal satu Quran lagi sebab nak pulihkan diri aku."
521,Kau rasa?
522,Aku rasa aku dah cuba segala-galanya tapi aku tetap miserable dan rasa tak nak hidup.Last2 aku pergi juga ke klinik psikiatri.
523,Sekarang aku dah masuk 5 bulan makan antidepressant pagi dan malam.
524,6 atau 7 kali sesi psikoterapi dengan doktor aku yang sangat2 baik.
525,Aku di diagnose dengan OCD dan depression.
526,Sebab apa?
527,Tu tak perlu tahu kot.
528,Panjang sangat ceritanya.
529,Point aku kat sini ada dua.1.
530,"Bagi yang sedang mengalami masalah yang kau rasa ada kaitan dengan kesihatan mental kau aku doakan kau tabah dan tetap teruskan untuk dapatkan rawatan, stick dengan rawatan, kalau dapat ubat kau makan, doktor suruh buat apa kau buat, doktor suruh tinggal apa kau tinggal."
531,"Doktor kau kerek, kaunselor kau tak dengar, kau cari lagi dan lagi dan lagi sampailah kau jumpa orang yang boleh bantu kau atasi masalah kau."
532,Doktor pun manusia jugak.
533,Mungkin nasib kau kurang baik dia bad mood masa hari kau jumpa dia.
534,Yang penting kau terus dan terus dan terus doa dan ikhtiar supaya kau ok dan boleh function balik.
535,Kesihatan mental SANGAT penting ok.2.
536,Kau sakit tak semestinya Iman kau lemah tapi tak semestinya juga Iman kau ok. Hakikat Iman tu memang naik dan turun ini memang ulama bersepakat tentang hakikat ini.
537,Kau sakit ke sihat ke iman kau memang turun naik.
538,"Dan kau sakit ke sihat ke kau sentiasa kena usaha perbaiki iman kau, perbaiki ibadah kau."
539,Ada kaitan tak dengan kesihatan mental?
540,"Bagi aku secara generalnya tidak, tapi dari segenap sudut ada kena mengena juga.Maksud aku, stigma yang depression yang PUNCA UTAMA adalah kelemahan iman tu bagi aku salah."
541,Iman ni Allah je yang tahu kat mana levelnya.
542,"Aku tak nafi, boleh jadi lemahnya iman tu ANTARA PUNCA kau kemurungan."
543,"So disebabkan mustahil untuk buktikan kelemahan iman ni punca kemurungan, sebab tu kalau kau cuba ambil langkah-langkah untuk kuatkan iman pun kau still murung."
544,"Macam aku dulu la, hari-hari baca al-Quran, solat cukup, orang sekeliling pun semua dok mengaji je tapi last2 kemurungan datang balik jugak."
545,"Tapi aku tak nafikan, yang aku hafaz al-Quran ni sangat membantu aku."
546,"Ayat-ayat Allah ni macam pelampung yang aku berpaut dalam ombak dan badai kemurungan yang hampir menenggelamkan aku.Kesimpulannya, bila kemurungan tu lau ikhtiar dapatkan rawatan perubatan dalam masa yang sama hubungan dengan Allah pun kau cuba improve."
547,Dan pandangan negatif termasuklah doktor atau kakitangan kesihatan yang tak memahami kau tolak tepi walaupun kau rasa sakit hati dan takde sape paham kau.
548,"Jangan biarkan pengalaman tak best menghalang kau daripada teruskan rawatan.Dan start je kau dapat diagnosis, time tu akan jadi lagi susah, aku mula aku amek ubat pun ade yg x kena, nak aplikasikan nasihat doktor daripada psikoterapi pun sakit, kau kena lawan diri kau."
549,It does not get easier but eventually it will.Keep moving.
550,Keep trying.
551,Teruskan bernafas walau kau rasa tak mau.
552,"Teruskan bernafas sampai kau betul-betul rasa nak hidup.Alhamdulillah sekarang aku dah sangat banyak improvement, asbab rawatan doktor aku dan sokongan orang-orang terdekat aku."
553,Semoga Allah rahmati mereka dan semoga lebih ramai doktor yang baik macam doktor aku.
554,Kau takkan tahu betapa nikmatnya perasaan nak hidup bila kau pernah lalui fasa taknak hidup.Last aku nak share.
555,Sentiasa amalkan doa ni :اللّهم إني أعوذبك من الهَمِّ و الحزنAda sambungan dia lagi korang carik lah sendiri eh.
556,"Hammi tu maksud die anxiety, hazan to sadness aka depression.P/s : aku pergi klinik kerajaan pada kedua-dua fasa yang berbeza tersebut.– FibonacciHantar confession anda di sini -> www.iiumc.com/submit Hari ini, aku dapat tahu sendiri kenapa orang murung tak dapatkan pertolongan.Aku pergi klinik kesihatan hari ni."
557,"Dalam dua minggu lepas, perasaan yang dah lama aku tak rasa datang balik."
558,Dulu masa aku belajar dan masa aku bujang selalu la perasaan tu datang.Seingat aku ini kali pertama datang perasaan yang sama macam dulu sejak aku kahwin.
559,Pencetusnya?
560,"Aku pun tak tahu.Dalam dua minggu lepas, aku memang rasa down sangat."
561,Tanpa sebab.
562,Rasa sedih.
563,Rasa malas bangun tidur.
564,Aku bangun untuk solat subuh je.
565,Itu pun kadang2 aku burn subuh.
566,"Lepas subuh, aku tidur balik."
567,Takde semangat langsung nak bangun.
568,"Oh, aku kerja ikut suka aku."
569,Kerja bebas.Aku rasa sedih tak tentu pasal.
570,Takde sebab.
571,Rasa useless.
572,Rasa macam dulu la masa belajar.
573,Masa bujang.
574,Masa aku duduk sorang2.
575,Tapi ini kali pertama jadi lepas kahwin.
576,Otak aku asyik fikir kalau mati lagi best.
577,Aku dah prepare dah untuk isteri dan anak aku duit.
578,"Tak banyak, tapi ada la."
579,"Tapi fikir je, takde la sampai aku nak campak nyawa aku sendiri."
580,"Cuma macam bayangkan, death by proxy."
581,Mati sebab accident ke.
582,Aku ada la iman lagi.
583,"Aku tahu la dosa pahala.Satu malam dalam dua minggu lepas tu, aku scroll FB, search tentang depression."
584,"Jumpa la satu page ni, Malaysia Suicide Alert (MESRA)."
585,Aku try la pm.
586,tak berbalas sampai sekarang.
587,Aku cuba la call Befrienders.
588,Tak dapat.
589,Tapi aku faham la sebab dah tengah malam.
590,"Serius aku cakap, memang waktu tu aku serabut."
591,Aku rasa berat sangat nak buat benda yang aku selalu buat.
592,Aku rasa nak tidur je.
593,Aku monyok je.
594,Keluar dengan family pun rasa tak happy.
595,Aku sedih je.Aku jumpa satu link.
596,Questionnaire.
597,Saringan Kesihatan Mental.
598,Aku cuba la jawab.
599,"Dapat keputusan dalam email, dia suruh aku pergi ke Klinik Kesihatan."
600,"Esoknya aku pergi, aku tunjuk kat kaunter klinik kesihatan, diorang pun blur."
601,Tapi diorang suruh aku daftar dulu.
602,"Aku daftar, Aku tunggu lama."
603,Pastu aku balik sebelum sempat diorang panggil aku.
604,"Aku fikir, takpe la, aku setel sendiri……I got better a few days later."
605,Ada beberapa benda yang aku buat menjadi.
606,Aku semangat balik.
607,Aku ok balik.
608,Tapi perasaan tu masih ada la.
609,"Aku start balik bangun awal pagi, ulang balik rutin dulu."
610,"Pastu hari ini, aku buat keputusan untuk pergi klinik kesihatan lagi sebab aku ada gatal-gatal tanpa ruam yang miang sesangat."
611,"Pergi klinik kali ni, aku tunggu."
612,"Tunggu sampai dipanggil masuk bilik doktor.Jumpa doktor, aku cerita pasal gatal-gatal."
613,Dan biasalah doktor klinik kerajaan.
614,Beban kerja terlalu banyak.
615,Memang cuba secepat mungkin untuk selesaikan patient.
616,"Aku cuba cakap tentang ujian saringan depression yang aku ada ambil.Waktu ini, nampak gaya macam ada sinis sikit."
617,Macam mana nak cakap ye?
618,Macam gaya nak kata kita ni mengada-ada.
619,"Mungkin aku sangka buruk, tapi aku orang sales, aku boleh baca sikit2 gaya orang ni."
620,"But don’t get me wrong, the doctor was still professional."
621,"Dia suruh aku ambil satu borang kat luar, suruh aku isi borang tu."
622,Borang DASS namanya.Borang mengandungi soalan2 yang lebih kurang sama macam soalan saringan depression hari tu.
623,Aku jawab la ikut arahan.
624,"Arahannya, berdasarkan apa yang kita rasa dalam seminggu yang lepas."
625,Aku masih rasa.
626,"Cuma dah kurang.Aku bawa balik masuk borang tu, Keputusan memang lebih kurang dengan saringan."
627,"Kemurungan – Sangat TerukAnzieti – SederhanaStres – Sangat TerukOk, jumpa doktor balik."
628,Kesinisan bermula sekali lagi.
629,Doktor tanya soalan untuk pastikan sama ada aku faham soalan yang ditanya dalam borang.
630,Aku jawab.
631,"Ada cara doktor tu balas, itu biasa la."
632,Saya pun rasa macam tu.Cara doktor tanya macam menekan.
633,Macam aku ni sungguh mengada-ada.
634,"Ada satu part, aku beritahu tentang suicidal thoughts aku."
635,"Dia kata, “Tapi takde la nak buat apa-apa kan?” Dan dia juga ada cakap, “Tak bolehlah macam tu, bila terlintas, fikir anak isteri”."
636,Aku pergi jumpa doktor sebab aku fikir anak isteri la.
637,"Aku nak baik.Sampailah satu soalan, dia tanya tentang family, dia tanya aku tak boleh kongsi dengan isteri aku ke?"
638,Dengan parents macam mana.
639,SH*t. Masa ni aku nangis.
640,Sebak.
641,Tetiba.
642,Aku tak tahu kenapa.
643,Depan doktor tu.
644,Aku dah bertahun-tahun kot tak menangis macam tu.
645,Anak aku sakit dulu pun aku tak nangis macam tu.Last2 doktor set aku untuk terapi pemulihan carakerja.
646,Memang terapi yang aku nak.
647,"Bukan nak bantai ubat terus.Aku yang sepatutnya dah ok sikit, pasal insiden hari ini, dengan doktor tu, aku dah rasa macam haritu balik.Rasa nak mati je….– AkuHantar confession anda di sini -> www.iiumc.com/submit Hai assalamualaikum nama mia ( bukan nama sebenar) 15 tahun."
648,saya ada satu perasaan yang saya sendiri tak tahu itu apa.
649,Then saya ade research membawa kepada di bawah ini.Tanda-tanda penyakit kemurungan1.
650,Perasaan murung atau sering marah-marah hampir sepanjang hari dan hampir setiap hari dalam tempoh dua minggu.
651,Perasaan ini dilaporkan oleh pesakit secara subjektif seperti perasaan rendah diri ataupun daripada pengamatan orang luar contohnya selalu menangis.
652,( ok ini memang selalu cth kalau hari tu kena marah or ada orang sumpah seranah even gurau je pon saya boleh dapat perasaan diri rasa ‘xguna’ or benci dekat diri sendiri.
653,and macam ada orang bercakap dalam kepala ‘ ko ni tak guan mia benda macam tu pon tak boleh buat ke?’ atau ‘ ko ni tak layak hidup la mia’ atau ‘ semua ni salah ko la mia’ kata- kata tu berlegar dalam kepala walaupun salah yang saya buat alahai sangat sikit.
654,Lagi- lagi bila orang salahkan saya depan – depan secara gurauan dia punya feel tu macam dah tak nak buat ape dah.
655,Lebih tepat lagi rasa macam tak nak hidup bila ade orang salah kan kita la.
656,(nampak remeh kan sorry tak reti nak luahkan macam mana harap faham)2.
657,Tidak bersemangat atau tidak berminat melakukan aktiviti sosial yang biasa dilakukan hampir setiap hari.
658,Contohnya tidak berminat untuk bersukan lagi atau berjumpa dengan sanak-saudara.
659,sangat-sangatlah iye.3.
660,Berat badan merosot (~5%) daripada asal dalam waktu yang singkat atau kurang selera makan.
661,Yang ni tak kot sebab aq ni jenis banyak memikir bila penat memikir aq makan.4.
662,"Corak tidur berubah, sama ada kurang tidur (insomnia) atau terlebih tidur (hypersomnia).Yang ni sekarang ya."
663,"Tak tahu kenapa aq dari dulu lagi kalau buat ujian yg stress, depression, anxiety."
664,Depression dengan anxiety tahap max nun.
665,kuat tidoq waktu tu la ni ja tiba-tiba dia berubah.5.
